CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
15,0.779999971,0,0.039999999,0.02,0.01,-0.01,0.01,-0.02,0,-0.01,0.01,0.01,-0.039999999,0,-43,6,-17,35,7,8,23,-12,-30,29,-9,-9,-14,-27,-1,-23,-25,-11,-1,9,-18,-15,3,-13,6,-15,3,1,-7,,,,,,,,,,,,,0.000285714,4.31034E-06,0.000363636,0.000363636,-0.000363636,0.000727273,-0.005,-0.01,0,-0.015,15,8.241758242
-230,-0.230000004,-0.5,0.899999976,0.02,0.01,-0.01,0.01,0.02,0,-0.050000001,-0.090000004,0,0.039999999,0,-26,58,-7,41,16,-14,9,-14,-55,23,-31,-45,-29,-71,-18,-41,-66,-20,-20,-11,-12,-26,-13,-29,0,-28,-22,-4,-19,,,,,,,,,,,,,-8.42491E-05,4.31034E-06,0.000363636,-0.000363636,0.000727273,-0.000727273,0.015,0.01,-0.070000002,0.02,-230,-126.3736264
-270,-0.079999998,-1,0.600000024,0.02,0.01,0,-0.02,0.02,0,-0.100000001,-0.140000001,0.090000004,0.090000004,0,-16,72,-10,30,29,-5,14,-4,-44,15,-43,-19,-27,-57,-4,-37,-66,-10,-4,-7,-22,-11,-21,-32,13,-19,-25,-4,-15,,,,,,,,,,,,,-2.9304E-05,4.31034E-06,-0.000363636,-0.000363636,0.000727273,-0.001636364,0,0.01,-0.120000001,0.090000004,-270,-148.3516484
-346,-1.039999962,-1.5,0,0.02,0.01,-0.01,-0.039999999,0.01,0.100000001,-0.200000003,-0.270000011,0.200000003,0.200000003,0,-28,69,-12,33,19,-17,9,-8,-31,36,-26,-16,-27,-52,9,-30,-45,-14,-11,-10,-29,-8,-8,-27,8,-28,-26,-5,-11,,,,,,,,,,,,,-0.000380952,4.31034E-06,-0.000545455,0.001636364,0.001272727,-0.003636364,-0.015,0.055000001,-0.235000007,0.200000003,-346,-190.1098901
-416,-1.639999986,-2,-0.600000024,0.02,0.01,-0.01,-0.079999998,0.02,0.100000001,-0.289999992,-0.360000014,0.289999992,0.319999993,0,-25,69,-2,33,25,-21,9,-5,-20,37,-20,-21,-24,-63,9,-32,-49,-11,-11,-16,-25,-14,-16,-25,8,-27,-32,-5,-17,,,,,,,,,,,,,-0.000600733,4.31034E-06,-0.001272727,0.001454545,0.001272728,-0.005818182,-0.029999999,0.060000001,-0.325000003,0.304999992,-416,-228.5714286
-446,-2.119999886,-2.5,-0.920000017,0.02,0.01,0,-0.079999998,0.100000001,0.100000001,-0.379999995,-0.379999995,0.340000004,0.379999995,0,-23,80,-12,23,35,-7,28,10,-15,40,-20,-15,-11,-35,25,-19,-37,6,6,-5,-28,0,-3,-15,33,-13,-25,-2,-8,,,,,,,,,,,,,-0.000776557,4.31034E-06,-0.001454545,0,0,-0.006909091,0.010000002,0.100000001,-0.379999995,0.359999999,-446,-245.0549451
-536,-2.279999971,-3,-1.840000033,0.02,0.01,-0.01,-0.079999998,0.119999997,0.100000001,-0.479999989,-0.479999989,0.479999989,0.540000021,0,-22,69,-1,40,20,-5,20,-5,-31,57,-6,7,-21,-40,10,-20,-30,-10,-16,0,-18,-10,3,-20,4,-21,-11,-1,-4,,,,,,,,,,,,,-0.000835165,4.31034E-06,-0.001272727,-0.000363636,0,-0.009818182,0.02,0.109999999,-0.479999989,0.510000005,-536,-294.5054945
-561,-3.349999905,-3.5,-2.140000105,0.02,0.01,0,-0.079999998,0.119999997,0.170000002,-0.550000012,-0.560000002,0.560000002,0.600000024,0,-26,63,-20,24,19,-15,15,-20,-54,24,-26,-27,-33,-63,-7,-40,-58,-22,-31,-26,-21,-26,-21,-34,-9,-38,-32,-14,-21,,,,,,,,,,,,,-0.001227106,4.31034E-06,-0.001454545,0.000909091,0.000181818,-0.010909091,0.02,0.145,-0.555000007,0.580000013,-561,-308.2417582
-591,-3.309999943,-4,-2.440000057,0.02,0.01,0,-0.079999998,0.119999997,0.200000003,-0.569999993,-0.560000002,0.600000024,0.670000017,0,-21,76,2,41,42,20,37,16,-24,34,-36,4,-8,-29,13,-9,-37,9,3,3,-22,6,13,-8,26,-8,-16,9,5,,,,,,,,,,,,,-0.001212454,4.31034E-06,-0.001454545,0.001454546,-0.000181818,-0.012181818,0.02,0.16,-0.564999998,0.63500002,-591,-324.7252747
-616,-3.700000048,-4.5,-2.75999999,0.02,0.01,-0.01,-0.100000001,0.170000002,0.200000003,-0.579999983,-0.569999993,0.670000017,0.720000029,0,-20,53,-7,30,19,-10,16,-9,-28,26,-27,-2,-30,-53,6,-37,-56,-18,-22,-21,-23,-18,-17,-30,-8,-32,-29,-8,-16,,,,,,,,,,,,,-0.001355311,4.31034E-06,-0.001636364,0.000545455,-0.000181818,-0.01309091,0.035,0.185000002,-0.574999988,0.695000023,-616,-338.4615385
-681,-4.389999866,-5,-3.640000105,0.029999999,0.01,0,-0.180000007,0.119999997,0.100000001,-0.670000017,-0.670000017,0.779999971,0.839999974,0,-49,19,-37,-5,-8,-63,-20,-45,-109,-25,-64,-109,-56,-94,-28,-67,-88,-31,-25,-20,-18,-29,-26,-46,-3,-39,-30,-16,-35,,,,,,,,,,,,,-0.001608059,8.62069E-06,-0.003272727,-0.000363636,0,-0.015272727,-0.030000005,0.109999999,-0.670000017,0.809999973,-681,-374.1758242
-746,-6.239999771,-5.5,-4.380000114,0.029999999,0.01,0,-0.180000007,0.230000004,0.180000007,-0.74000001,-0.75,0.910000026,1.00999999,0,-49,27,-41,2,0,-41,-15,-33,-105,-26,-81,-89,-39,-86,-13,-57,-84,-17,-24,-4,-30,-30,-24,-44,-4,-20,-23,5,-25,,,,,,,,,,,,,-0.002285714,8.62069E-06,-0.003272727,-0.000909091,0.000181818,-0.018363636,0.024999999,0.205000006,-0.745000005,0.960000008,-746,-409.8901099
-806,-6.360000134,-6,-5.139999866,0.029999999,0.01,-0.01,-0.200000003,0.239999995,0.200000003,-0.769999981,-0.75999999,1.049999952,1.159999967,0,-36,47,-33,7,5,-31,-8,-25,-84,-29,-81,-87,-41,-81,-9,-57,-87,-20,-14,0,-26,-16,-20,-45,9,-23,-21,1,-22,,,,,,,,,,,,,-0.00232967,8.62069E-06,-0.003454546,-0.000727273,-0.000181818,-0.021090908,0.019999996,0.219999999,-0.764999986,1.104999959,-806,-442.8571429
-866,-6.730000019,-7,-5.900000095,0.029999999,0.01,-0.01,-0.219999999,0.330000013,0.25,-0.769999981,-0.75999999,1.190000057,1.340000033,0,-47,25,-29,8,4,-40,-1,-27,-86,-18,-66,-91,-36,-80,-7,-54,-71,-17,-13,4,-23,-19,-11,-35,16,-18,-19,3,-17,,,,,,,,,,,,,-0.002465201,8.62069E-06,-0.003818182,-0.001454546,-0.000181818,-0.024363637,0.055000007,0.290000007,-0.764999986,1.265000045,-866,-475.8241758
-916,-7.690000057,-7.5,-6.659999847,0.029999999,0.01,-0.01,-0.239999995,0.379999995,0.300000012,-0.860000014,-0.75999999,1.330000043,1.480000019,0,-48,48,-33,18,2,-21,11,-31,-90,-21,-64,-87,-41,-73,-14,-47,-78,-18,-19,3,-13,-15,-16,-37,9,-26,-16,-3,-22,,,,,,,,,,,,,-0.00281685,8.62069E-06,-0.004181818,-0.001454545,-0.001818182,-0.026909091,0.07,0.340000004,-0.810000002,1.405000031,-916,-503.2967033
-966,-8.779999733,-8.5,-7.420000076,0.029999999,0.01,-0.01,-0.270000011,0.430000007,0.349999994,-0.860000014,-0.800000012,1.470000029,1.629999995,0,-62,13,-45,2,-9,-58,-13,-52,-110,-19,-78,-111,-54,-103,-29,-57,-81,-29,-41,-10,-33,-39,-29,-46,-9,-34,-24,-20,-37,,,,,,,,,,,,,-0.003216117,8.62069E-06,-0.004727273,-0.001454546,-0.001090909,-0.029636364,0.079999998,0.390000001,-0.830000013,1.550000012,-966,-530.7692308
-1007,-9.170000076,-9.5,-8.199999809,0.029999999,0.01,0,-0.270000011,0.540000021,0.409999996,-0.860000014,-0.850000024,1.590000033,1.779999971,0,-48,24,-35,10,-11,-56,-24,-52,-108,-18,-72,-107,-64,-110,-37,-67,-88,-34,-41,-24,-25,-38,-32,-52,-8,-40,-37,-23,-42,,,,,,,,,,,,,-0.003358974,8.62069E-06,-0.004909091,-0.002363637,-0.000181818,-0.032363636,0.135000005,0.475000009,-0.855000019,1.685000002,-1007,-553.2967033
-1012,-10.10999966,-10,-8.739999771,0.029999999,0.01,0,-0.270000011,0.540000021,0.409999996,-0.860000014,-0.850000024,1.659999967,1.860000014,0,-50,42,-19,18,6,-46,-14,-40,-92,-9,-55,-98,-51,-92,-20,-63,-87,-25,-28,-6,-9,-27,-28,-50,4,-31,-26,-9,-29,,,,,,,,,,,,,-0.003703297,8.62069E-06,-0.004909091,-0.002363637,-0.000181818,-0.033818182,0.135000005,0.475000009,-0.855000019,1.75999999,-1012,-556.043956
-1057,-11.63000011,-11.5,-10.14000034,0.029999999,0,-0.01,-0.270000011,0.610000014,0.409999996,-0.930000007,-0.850000024,1.730000019,1.970000029,-0.100000001,-73,11,-44,12,12,-10,12,-39,-105,-16,-71,-76,-37,-73,-10,-46,-80,-31,-22,-3,-14,-11,-19,-45,0,-32,-14,-1,-15,,,,,,,,,,,,,-0.004223443,1.2931E-05,-0.004727273,-0.003636364,-0.001454545,-0.037636364,0.170000002,0.510000005,-0.890000015,1.850000024,-1057,-580.7692308
-1142,-12.88000011,-13,-11.65999985,0.029999999,0,-0.01,-0.289999992,0.769999981,0.540000021,-0.949999988,-0.850000024,1.960000038,2.230000019,-0.100000001,-59,34,-10,16,3,-42,-21,-23,-79,11,-79,-87,-28,-91,-9,-56,-82,-5,-8,14,-42,-27,-22,-41,25,-12,-9,2,-31,,,,,,,,,,,,,-0.004681319,1.2931E-05,-0.005090909,-0.004181817,-0.001818181,-0.042363637,0.239999995,0.655000001,-0.900000006,2.095000029,-1142,-627.4725275
-1217,-14.31000042,-14.5,-13.23999977,0.029999999,0.01,-0.01,-0.310000002,0.899999976,0.649999976,-0.959999979,-0.850000024,2.160000086,2.49000001,-0.100000001,-50,34,-30,13,5,-27,9,-8,-51,9,-43,-68,-41,-82,-8,-48,-71,-14,-18,0,-15,-22,-17,-37,12,-24,-19,-5,-25,,,,,,,,,,,,,-0.005205128,8.62069E-06,-0.005454546,-0.004545455,-0.001999999,-0.047090909,0.294999987,0.774999976,-0.905000001,2.325000048,-1217,-668.6813187
-1287,-16.29000092,-15.5,-14.80000019,0.029999999,0.01,-0.01,-0.330000013,1.080000043,0.769999981,-1.049999952,-0.850000024,2.390000105,2.75,-0.100000001,-58,29,-19,23,9,-14,13,-12,-49,22,-48,-51,-37,-71,-4,-37,-68,-19,-23,-5,-18,-19,-11,-33,0,-29,-23,-4,-11,,,,,,,,,,,,,-0.005930403,8.62069E-06,-0.005818182,-0.005636365,-0.003636362,-0.051818182,0.375000015,0.925000012,-0.949999988,2.570000052,-1287,-707.1428571
-1357,-17.20999908,-17,-16.36000061,0.029999999,0.01,0.07,-0.330000013,1.220000029,0.889999986,-1.049999952,-0.850000024,2.589999914,3,-0.100000001,-60,12,-39,7,-2,-37,8,-18,-78,-1,-64,-91,-42,-88,-13,-43,-70,-12,-28,-10,-33,-19,-7,-36,15,-37,-30,-12,-20,,,,,,,,,,,,,-0.006267399,8.62069E-06,-0.007272728,-0.006000001,-0.003636362,-0.056363636,0.445000008,1.055000007,-0.949999988,2.794999957,-1357,-745.6043956
-1417,-19.20000076,-18.5,-17.92000008,0.029999999,0.029999999,0.090000004,-0.349999994,1.350000024,1,-1.049999952,-0.850000024,2.819999933,3.25,-0.100000001,-65,22,-39,10,-5,-15,6,-25,-96,-18,-70,-91,-41,-79,-17,-46,-85,-29,-35,-3,-10,-25,-15,-41,-12,-32,-16,-4,-24,,,,,,,,,,,,,-0.006996337,0,-0.008,-0.006363637,-0.003636362,-0.060909091,0.500000015,1.175000012,-0.949999988,3.034999967,-1417,-778.5714286
-1452,-20.71999931,-20,-19.37999916,0.029999999,0.109999999,0.090000004,-0.360000014,1.480000019,1.100000024,-1.120000005,-0.850000024,3.039999962,3.519999981,-0.100000001,-61,19,-50,-1,-7,-50,-21,-49,-110,-38,-66,-109,-59,-103,-24,-66,-95,-30,-27,-19,-12,-23,-34,-58,1,-39,-33,-16,-33,,,,,,,,,,,,,-0.007553113,-3.44828E-05,-0.008181819,-0.006909091,-0.004909091,-0.065818181,0.560000002,1.290000021,-0.985000014,3.279999971,-1452,-797.8021978
-1487,-30.53000069,-30.5,-29.37999916,0.029999999,0.150000006,0.180000007,-0.529999971,1.690000057,1.029999971,-1.139999986,-0.75,3.059999943,3.660000086,0,-77,2,-41,-7,14,-21,4,-20,-96,8,-65,-55,-47,-93,-14,-48,-85,-31,-38,-13,-10,-17,-17,-59,1,-37,-19,1,-21,,,,,,,,,,,,,-0.01118315,-5.17241E-05,-0.012909091,-0.012000002,-0.007090909,-0.066545456,0.580000043,1.360000014,-0.944999993,3.360000014,-1487,-817.032967
