CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
-706,-6.449999809,-6,-5.699999809,0,-0.059999999,0.479999989,0.370000005,3.900000095,-5.139999866,-1.629999995,-1.49000001,0.829999983,1.179999948,-0.01,-119,0.002,0.164399996,-0.0025,-0.0064,0,0.425000012,-0.620000005,-1.559999943,1.004999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.002358974,2.58621E-05,-0.002,-0.164363636,-0.002545454,-0.021636363,2.13500005,-0.619999886,-1.560000002,1.004999965,-706,-387.9120879
-741,-6.550000191,-6.5,-6.079999924,0,-0.059999999,0.479999989,0.370000005,3.900000095,-5.139999866,-1.629999995,-1.529999971,0.860000014,1.24000001,-0.01,-105,0.002,0.164399996,-0.0018,-0.0069,0,0.425000012,-0.620000005,-1.580000043,1.049999952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.002395604,2.58621E-05,-0.002,-0.164363636,-0.001818182,-0.022727273,2.13500005,-0.619999886,-1.579999983,1.050000012,-741,-407.1428571
-811,-7.409999847,-7,-6.860000134,0,-0.059999999,0.479999989,0.280000001,3.930000067,-5.119999886,-1.74000001,-1.529999971,0.949999988,1.360000014,-0.01,-105,0.0036,0.164499998,-0.0038,-0.0075,0,0.379999995,-0.595000029,-1.63499999,1.154999971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.002710623,2.58621E-05,-0.003636363,-0.164545454,-0.003818183,-0.024909091,2.105000034,-0.594999909,-1.63499999,1.155000001,-811,-445.6043956
-881,-8.609999657,-8,-7.639999866,0,-0.059999999,0.469999999,0.280000001,4,-5.039999962,-1.74000001,-1.570000052,1.049999952,1.480000019,-0.01,-60,0.0035,0.164399996,-0.0031,-0.0078,0,0.375,-0.519999981,-1.654999971,1.264999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.003150183,2.58621E-05,-0.003454545,-0.164363636,-0.003090908,-0.027090909,2.140000001,-0.519999981,-1.655000031,1.264999986,-881,-484.0659341
-896,-8.880000114,-8.5,-8.020000458,0,-0.059999999,0.389999986,0.270000011,4,-5.039999962,-1.74000001,-1.620000005,1.100000024,1.539999962,-0.01,-73,0.0022,0.164399996,-0.0022,-0.008,0,0.330000013,-0.519999981,-1.679999948,1.320000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.003249084,2.58621E-05,-0.002181818,-0.164363636,-0.002181818,-0.028181817,2.135000005,-0.519999981,-1.680000007,1.319999993,-896,-492.3076923
-931,-9.590000153,-9,-8.800000191,0,-0.059999999,0.389999986,0.180000007,4,-5.039999962,-1.840000033,-1.629999995,1.169999957,1.659999967,-0.01,-106,0.0038,0.164399996,-0.0038,-0.0088,0,0.284999996,-0.519999981,-1.735000014,1.412500024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.003509158,2.58621E-05,-0.003818181,-0.164363636,-0.003818183,-0.030363636,2.090000004,-0.519999981,-1.735000014,1.414999962,-931,-511.5384615
-981,-9.569999695,-9.5,-9.340000153,0,-0.059999999,0.389999986,0.180000007,4,-5.039999962,-1.840000033,-1.629999995,1.24000001,1.769999981,-0.01,-78,0.0038,0.164399996,-0.0038,-0.0095,0,0.284999996,-0.519999981,-1.735000014,1.502500057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.003501831,2.58621E-05,-0.003818181,-0.164363636,-0.003818183,-0.032363636,2.090000004,-0.519999981,-1.735000014,1.504999995,-981,-539.010989
-1012,-10.78999996,-10.5,-10.10000038,0,-0.07,0.670000017,0.469999999,4.110000134,-4.940000057,-1.940000057,-1.720000029,1.379999995,1.909999967,0.050000001,-125,0.0036,0.164499998,-0.004,-0.0096,0,0.569999993,-0.414999992,-1.830000043,1.644999981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.003970696,3.01724E-05,-0.003636364,-0.164545458,-0.004000001,-0.033818181,2.290000066,-0.414999962,-1.830000043,1.644999981,-1012,-556.043956
-1142,-12.22000027,-12,-11.68000031,0,-0.079999998,0.579999983,0.370000005,4.139999866,-4.940000057,-1.940000057,-1.720000029,1.529999971,2.130000114,0.050000001,-106,0.0038,0.165099993,-0.004,-0.0108,0,0.474999994,-0.400000006,-1.830000043,1.827499986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.004494506,3.44828E-05,-0.003818181,-0.165090908,-0.004000001,-0.037818184,2.254999936,-0.400000095,-1.830000043,1.830000043,-1142,-627.4725275
-1197,-12.94999981,-12.5,-12.47999954,0,-0.07,0.579999983,0.370000005,4.21999979,-4.940000057,-2,-1.730000019,1.620000005,2.200000048,0.050000001,-114,0.0038,0.166500002,-0.0049,-0.0105,0,0.474999994,-0.360000014,-1.86500001,1.909999967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.004761905,3.01724E-05,-0.003818181,-0.166545452,-0.004909091,-0.03909091,2.294999897,-0.360000134,-1.86500001,1.910000026,-1197,-657.6923077
-1307,-14.88000011,-14,-14.10000038,0,-0.07,0.540000021,0.280000001,4.239999771,-4.829999924,-2.039999962,-1.75999999,1.789999962,2.420000076,0.050000001,-166,0.0047,0.164900005,-0.0051,-0.0115,0,0.409999996,-0.294999987,-1.899999976,2.105000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.005468865,3.01724E-05,-0.004727273,-0.164909085,-0.005090909,-0.04309091,2.259999886,-0.295000076,-1.899999976,2.105000019,-1307,-718.1318681
-1412,-16.47999954,-15.5,-15.72000027,0,-0.059999999,0.479999989,0.219999999,4.320000172,-4.809999943,-2.039999962,-1.75999999,1.909999967,2.589999914,0.050000001,-95,0.0047,0.165999994,-0.0051,-0.0123,0,0.349999994,-0.245000005,-1.899999976,2.247499943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.006054945,2.58621E-05,-0.004727273,-0.166000002,-0.005090909,-0.046181817,2.270000085,-0.244999886,-1.899999976,2.24999994,-1412,-775.8241758
-1457,-17.23999977,-16.5,-16.52000046,0,-0.059999999,0.49000001,0.180000007,4.389999866,-4.730000019,-2.049999952,-1.75999999,1.980000019,2.670000076,0.050000001,-126,0.0056,0.165800005,-0.0053,-0.0125,0,0.335000008,-0.170000002,-1.904999971,2.32249999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.006333333,2.58621E-05,-0.005636364,-0.16581818,-0.005272727,-0.047636365,2.284999937,-0.170000076,-1.904999971,2.325000048,-1457,-800.5494505
-1547,-19.19000053,-18,-18.15999985,0,-0.059999999,0.389999986,0.090000004,4.510000229,-4.659999847,-2.049999952,-1.75999999,2.099999905,2.789999962,0.050000001,-131,0.0055,0.166700006,-0.0053,-0.0125,0,0.239999995,-0.075000003,-1.904999971,2.444999933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.007047619,2.58621E-05,-0.005454545,-0.166727274,-0.005272727,-0.049818181,2.300000116,-0.074999809,-1.904999971,2.444999933,-1547,-850
-1622,-20.59000015,-19.5,-19.79999924,0,-0.059999999,0.289999992,0.01,4.659999847,-4.480000019,-2.049999952,-1.720000029,2.200000048,2.880000114,0.050000001,-116,0.0051,0.166199997,-0.006,-0.0124,0,0.150000006,0.090000004,-1.88499999,2.539999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.00756044,2.58621E-05,-0.005090909,-0.166181816,-0.005999999,-0.051454548,2.334999924,0.089999914,-1.88499999,2.540000081,-1622,-891.2087912
-1758,-28.60000038,-28,-28,0,0.039999999,1.25,0.75,6.5,-2.789999962,-2.140000105,-1.620000005,2.289999962,3.119999886,0.01,-126,0.0091,0.168899998,-0.0095,-0.0151,0,1,1.855000019,-1.879999995,2.704999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.010479854,-1.72414E-05,-0.009090909,-0.16890909,-0.009454547,-0.056545452,3.625,1.855000019,-1.880000055,2.704999924,-1758,-965.9340659
-1813,-30.37999916,-29.5,-29.76000023,0,0.039999999,1.169999957,0.680000007,6.849999905,-2.49000001,-2.150000095,-1.570000052,2.410000086,3.230000019,0.01,-110,0.0089,0.169799998,-0.0105,-0.0149,0,0.925000012,2.180000067,-1.860000014,2.819999933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.011131868,-1.72414E-05,-0.00890909,-0.16981818,-0.010545455,-0.058545455,3.764999956,2.179999948,-1.860000074,2.820000052,-1813,-996.1538462
-1898,-33.09999847,-33,-33.27999878,0,0.109999999,1.049999952,0.560000002,7.730000019,-1.789999962,-2.150000095,-1.529999971,2.670000076,3.519999981,-0.050000001,-132,0.0089,0.173099995,-0.0113,-0.0155,0,0.805000007,2.970000029,-1.840000033,3.095000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.012106227,-4.74138E-05,-0.00890909,-0.173090909,-0.01127273,-0.064909091,4.145000011,2.970000029,-1.840000033,3.095000029,-1898,-1042.857143
-1953,-56.25999832,-59,-55.06000137,0,0.239999995,1.730000019,1.409999967,15.60000038,3.960000038,-1.960000038,-0.949999988,3.890000105,4.650000095,-0.109999999,-118,0.0058,0.211600006,-0.0184,-0.0138,-1E-04,1.570000052,9.779999733,-1.455000043,4.269999981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.020567765,-0.000103448,-0.005818183,-0.21163637,-0.018363637,-0.086545456,8.505000174,9.78000021,-1.455000013,4.2700001,-1953,-1073.076923
-1993,-63.40999985,-67,-61.72000122,0,0.239999995,1.629999995,1.320000052,16.09000015,4.139999866,-1.940000057,-0.75999999,4.340000153,5.130000114,-0.109999999,-130,0.0056,0.217299998,-0.021500001,-0.0144,-1E-04,1.475000024,10.11499977,-1.350000024,4.735000134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.023186813,-0.000103448,-0.005636363,-0.217272732,-0.021454547,-0.095272729,8.705000103,10.11500001,-1.350000024,4.735000134,-1993,-1095.054945
-2098,-69.69000244,-74.5,-68.33999634,0,0.330000013,1.820000052,1.559999943,17.95999908,5.449999809,-1.840000033,-0.569999993,4.739999771,5.630000114,-0.319999993,-116,0.0047,0.227500007,-0.0231,-0.0162,-1E-04,1.690000057,11.70499992,-1.205000043,5.184999943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.025410257,-0.000142241,-0.004727275,-0.227454532,-0.02309091,-0.10818182,9.759999514,11.70499945,-1.205000013,5.184999943,-2098,-1152.747253
