CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
10,0.5,0,0,0.01,0.01,0,0,0,0,0,0.01,-0.01,-0.02,-0.01,-53,0,0,-0.0002,0.0002,0,0,0,0.005,-0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000186813,0,0,0,-0.000181818,0.000181818,0,0,0.005,-0.015,10,5.494505495
-180,-0.209999993,-0.5,0.219999999,0.01,0.01,0,0,0.100000001,0,0,-0.01,0.01,0.02,0,-68,0,0.0018,0.0002,-0.0002,0,0,0.050000001,-0.005,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-7.69231E-05,0,0,-0.001818182,0.000181818,-0.000363636,0.050000001,0.050000001,-0.005,0.015,-180,-98.9010989
-220,-0.270000011,-1,-0.25999999,0.01,0.01,0,0,0.100000001,0,0,-0.02,0.01,0.050000001,-0.01,-61,0,0.0018,0.0004,-0.0007,0,0,0.050000001,-0.01,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-9.52381E-05,0,0,-0.001818182,0.000363636,-0.001090909,0.050000001,0.050000001,-0.01,0.03,-220,-120.8791209
-250,-0.810000002,-1.5,-0.579999983,0.01,0.01,-0.090000004,-0.039999999,0.100000001,0,0,-0.02,0.01,0.059999999,0,-56,-0.0009,0.0018,0.0004,-0.0009,0,-0.064999998,0.050000001,-0.01,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000296703,0,0.000909091,-0.001818182,0.000363636,-0.001090909,0.030000001,0.050000001,-0.01,0.034999999,-250,-137.3626374
-285,-1.710000038,-2,-1.080000043,0.01,0.01,-0.090000004,-0.100000001,0.100000001,0,0,-0.02,0.01,0.07,-0.01,-74,0.0002,0.0018,0.0004,-0.0011,0,-0.094999999,0.050000001,-0.01,0.039999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000622711,0,-0.000181818,-0.001818182,0.000363636,-0.001454545,0,0.050000001,-0.01,0.04,-285,-156.5934066
-310,-1.820000052,-2.5,-1.419999957,0.01,0.01,-0.090000004,-0.100000001,0.100000001,0,0,-0.029999999,0,0.07,-0.01,-76,0.0002,0.0018,0.0005,-0.0014,0,-0.094999999,0.050000001,-0.015,0.037500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000663004,0,-0.000181818,-0.001818182,0.000545455,-0.001454545,0,0.050000001,-0.015,0.035,-310,-170.3296703
-346,-2.430000067,-3,-1.919999957,0,0.01,-0.090000004,-0.129999995,0.100000001,0,0,-0.029999999,0.01,0.090000004,-0.01,-70,0.0007,0.0018,0.0005,-0.0014,0,-0.109999999,0.050000001,-0.015,0.047499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000886447,-4.31034E-06,-0.000727273,-0.001818182,0.000545455,-0.001818182,-0.014999997,0.050000001,-0.015,0.050000002,-346,-190.1098901
-386,-2.789999962,-3.5,-2.579999924,0.01,0.01,-0.449999988,-0.189999998,0.100000001,0,-0.039999999,-0.029999999,0.01,0.100000001,0,-46,-0.0047,0.0018,-0.0002,-0.0015,0,-0.319999993,0.050000001,-0.035,0.052499998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.001021978,0,0.004727273,-0.001818182,-0.000181818,-0.001818182,-0.044999998,0.050000001,-0.034999999,0.055000001,-386,-212.0879121
-436,-3.49000001,-4,-3.400000095,0.01,0,-0.189999998,-0.219999999,0.100000001,0,-0.109999999,-0.029999999,0.01,0.119999997,-0.01,-47,0.0005,0.0018,-0.0015,-0.002,0,-0.204999998,0.050000001,-0.07,0.064999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.001274725,4.31034E-06,-0.000545455,-0.001818182,-0.001454545,-0.002363636,-0.059999999,0.050000001,-0.069999999,0.064999999,-436,-239.5604396
-461,-4.239999771,-4.5,-3.880000114,0.01,0.01,-0.189999998,-0.280000001,0.209999993,0,-0.109999999,-0.029999999,0.01,0.129999995,-0.01,-46,0.0016,0.0038,-0.0015,-0.0022,0,-0.234999999,0.104999997,-0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.00154945,0,-0.001636364,-0.003818182,-0.001454545,-0.002545454,-0.035000004,0.104999997,-0.069999999,0.069999998,-461,-253.2967033
