CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
676,8.93999958,8.5,8.840000153,0.01,0.01,0.479999989,0.800000012,0,0,0.200000003,0.200000003,-0.469999999,-0.639999986,0.01,-55,-0.0058,0,0,0.0031,0,0.639999986,0,0.200000003,-0.555000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.003271062,0,0.005818182,0,0,0.011818182,0.400000006,0,0.200000003,-0.554999992,676,371.4285714
696,9.680000305,9,9.619999886,0.01,0.01,0.569999993,0.839999974,-0.01,0,0.209999993,0.200000003,-0.469999999,-0.699999988,0.01,-62,-0.0049,-0.0002,0.0002,0.0041,0,0.704999983,-0.005,0.204999998,-0.582499981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.003542125,0,0.004909091,0.000181818,0.000181818,0.012909091,0.414999987,-0.005,0.204999998,-0.584999993,696,382.4175824
771,12.52000046,12,12.53999996,0.01,0.01,0.769999981,1.200000048,0,0.039999999,0.230000004,0.159999996,-0.469999999,-0.720000029,0.01,-113,-0.0078,-0.0007,0.0013,0.0046,0,0.985000014,0.02,0.194999993,-0.597500026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.004582418,0,0.007818183,0.000727273,0.001272727,0.013272728,0.600000024,0.02,0.195,-0.595000014,771,423.6263736
851,14.35000038,14,14.22000027,0.01,0.01,0.860000014,1.340000033,-0.01,0.100000001,0.310000002,0.200000003,-0.469999999,-0.75,0.01,-89,-0.0087,-0.002,0.002,0.005,0,1.100000024,0.045000002,0.254999995,-0.607500017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.005252747,0,0.008727273,0.002,0.002,0.013818182,0.665000017,0.045000001,0.255000003,-0.609999999,851,467.5824176
891,15.15999985,14.5,15.07999992,0.01,0.01,0.899999976,1.450000048,-0.07,0.100000001,0.310000002,0.200000003,-0.469999999,-0.769999981,0.01,-73,-0.01,-0.0031,0.002,0.0054,0,1.174999952,0.015,0.254999995,-0.617500007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.00554945,0,0.010000001,0.003090909,0.002,0.014181818,0.690000024,0.015000001,0.255000003,-0.61999999,891,489.5604396
956,17.79000092,16,16.76000023,0.01,0.01,1.029999971,1.580000043,-0.109999999,0.100000001,0.409999996,0.209999993,-0.469999999,-0.790000021,0.01,-73,-0.01,-0.0038,0.0036,0.0058,0,1.304999948,-0.005,0.310000002,-0.629999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.006512821,0,0.010000001,0.003818182,0.003636364,0.014545455,0.735000022,-0.004999999,0.309999995,-0.63000001,956,525.2747253
1017,18.44000053,18,18.42000008,0.01,0.01,1.149999976,1.730000019,-0.109999999,0.100000001,0.419999987,0.280000001,-0.469999999,-0.819999993,0.01,-81,-0.0105,-0.0038,0.0025,0.0063,0,1.440000057,-0.005,0.349999994,-0.642499983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.006750916,0,0.010545455,0.003818182,0.002545454,0.015090909,0.81000001,-0.004999999,0.349999994,-0.644999996,1017,558.7912088
1047,20.45000076,18.5,19.34000015,0.01,0.01,1.149999976,1.779999971,-0.109999999,0.100000001,0.50999999,0.289999992,-0.469999999,-0.829999983,0.01,-91,-0.0115,-0.0038,0.004,0.0065,0,1.465000033,-0.005,0.400000006,-0.649999976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.00748718,0,0.011454545,0.003818182,0.004,0.015272727,0.834999986,-0.004999999,0.399999991,-0.649999991,1047,575.2747253
1052,21.35000038,20,20.78000069,0.01,0.01,1.24000001,1.879999995,-0.109999999,0.100000001,0.50999999,0.319999993,-0.469999999,-0.829999983,0.01,-75,-0.0116,-0.0038,0.0035,0.0066,0,1.559999943,-0.005,0.414999992,-0.652499974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.00781685,0,0.011636363,0.003818182,0.003454545,0.015272727,0.884999998,-0.004999999,0.414999992,-0.649999991,1052,578.021978
1142,27.14999962,26,26.63999939,0.01,0.01,1.440000057,2.230000019,-0.109999999,0.100000001,0.519999981,0.200000003,-0.389999986,-0.889999986,-0.01,-88,-0.0144,-0.0038,0.0058,0.0091,0,1.835000038,-0.005,0.360000014,-0.639999986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.009948718,0,0.014363636,0.003818182,0.005818181,0.016,1.06000001,-0.004999999,0.359999992,-0.639999986,1142,627.4725275
1202,28.71999931,27.5,28.5,0.01,0.01,1.529999971,2.369999886,-0.109999999,0.100000001,0.610000014,0.25,-0.379999995,-0.920000017,-0.01,-88,-0.0153,-0.0038,0.0065,0.0097,0,1.950000048,-0.005,0.430000007,-0.647499979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.010523809,0,0.015272726,0.003818182,0.006545455,0.016545455,1.129999943,-0.004999999,0.430000007,-0.650000006,1202,660.4395604
1307,32.56000137,31,32.08000183,0.109999999,0.01,1.679999948,2.630000114,-0.219999999,0.100000001,0.720000029,0.289999992,-0.379999995,-0.939999998,-0.01,-65,-0.0173,-0.0058,0.0078,0.0101,0,2.154999971,-0.059999999,0.504999995,-0.657500029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.011930403,4.31034E-05,0.01727273,0.005818182,0.007818182,0.016909091,1.205000058,-0.059999999,0.50500001,-0.659999996,1307,718.1318681
1382,36.31999969,34.5,35.65999985,0.109999999,0.01,1.820000052,2.869999886,-0.209999993,0.100000001,0.819999993,0.389999986,-0.280000001,-0.949999988,-0.01,-67,-0.019099999,-0.0056,0.0078,0.0122,0,2.345000029,-0.055,0.605000019,-0.61500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.013307692,4.31034E-05,0.019090906,0.005636364,0.007818182,0.017090909,1.329999946,-0.054999996,0.604999989,-0.614999995,1382,759.3406593
1417,37.79000092,36.5,37.45999908,0.109999999,0.01,1.909999967,3.00999999,-0.219999999,0.100000001,0.920000017,0.389999986,-0.25,-0.959999979,-0.01,-113,-0.02,-0.0058,0.0096,0.0128,0,2.460000038,-0.059999999,0.654999971,-0.602500021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.013846154,4.31034E-05,0.02,0.005818182,0.009636364,0.017272727,1.394999996,-0.059999999,0.655000001,-0.604999989,1417,778.5714286
1467,41.52000046,40,40.95999908,0.129999995,0.01,2.049999952,3.220000029,-0.219999999,0.100000001,1.019999981,0.469999999,-0.189999998,-0.959999979,-0.01,-91,-0.021299999,-0.0058,0.01,0.014,1E-04,2.63499999,-0.059999999,0.745000005,-0.574999988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.015212454,5.17241E-05,0.021272729,0.005818182,0.01,0.017272727,1.500000015,-0.059999999,0.74499999,-0.574999988,1467,806.043956
1472,67.44000244,64.5,66.51999664,0.200000003,0.07,2.819999933,4.860000134,-0.479999989,0.100000001,1,0.200000003,0.340000004,-0.860000014,0.01,-143,-0.037099998,-0.0105,0.0145,0.0218,1E-04,3.839999914,-0.189999998,0.600000024,-0.25999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.024699635,5.60345E-05,0.037090913,0.010545454,0.014545454,0.015818182,2.190000072,-0.189999994,0.600000001,-0.260000005,1472,808.7912088
