CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
-215,-6.329999924,-6,-6.179999828,0.01,0.02,0.100000001,-0.090000004,0.310000002,0.129999995,0,0.100000001,0.029999999,0.109999999,-0.01,100,-17,-5,6,28,-1,23,-3,-39,-8,-25,-49,-13,-54,-40,-47,-79,-27,-34,-21,-3,-43,-31,-37,-15,-2,-20,-16,-30,,,,,,,,,,,,,-0.002315018,-4.31034E-06,-0.003454546,-0.003272727,-0.001818182,-0.002181818,0.109999999,0.219999999,0.050000001,0.069999999,-215,-118.1318681
-240,-7.440000057,-7,-7.039999962,0.01,0.02,0.100000001,-0.090000004,0.319999993,0.079999998,0,0.100000001,0.029999999,0.119999997,-0.01,121,-16,-3,-1,36,11,35,-6,-46,-4,-20,-26,3,-36,-35,-42,-65,-20,-32,-12,-5,-36,-22,-30,-21,-1,-2,-9,-31,,,,,,,,,,,,,-0.002721612,-4.31034E-06,-0.003454546,-0.004363636,-0.001818182,-0.002363636,0.114999995,0.199999996,0.050000001,0.074999998,-240,-131.8681319
-250,-7.929999828,-7.5,-7.480000019,0.01,0.02,0.100000001,-0.090000004,0.349999994,0.100000001,0,0.100000001,0.029999999,0.119999997,-0.01,118,-8,14,10,47,11,24,4,-26,8,-28,-12,-1,-42,-17,-29,-70,-12,-24,-15,-5,-19,-18,-32,-12,8,-8,12,-14,,,,,,,,,,,,,-0.002901099,-4.31034E-06,-0.003454546,-0.004545454,-0.001818182,-0.002363636,0.129999995,0.224999998,0.050000001,0.074999998,-250,-137.3626374
-270,-8.670000076,-8,-8.319999695,0.01,0.02,0.100000001,-0.140000001,0.419999987,0.109999999,-0.050000001,0.100000001,0.029999999,0.129999995,-0.01,129,-13,1,9,37,8,27,1,-37,1,-30,-21,-2,-34,-30,-34,-61,-20,-26,-14,-12,-27,-18,-27,-14,2,-10,-4,-21,,,,,,,,,,,,,-0.003172161,-4.31034E-06,-0.004363636,-0.005636363,-0.002727273,-0.002545454,0.139999993,0.264999993,0.025,0.079999997,-270,-148.3516484
-280,-9.140000343,-8.5,-8.779999733,0.01,0.02,0.100000001,-0.189999998,0.419999987,0.109999999,-0.109999999,0.090000004,0.029999999,0.140000001,-0.01,122,-18,-5,3,30,5,25,-6,-41,-4,-24,-25,-1,-45,-34,-47,-66,-25,-24,-12,-6,-39,-28,-34,-13,3,-11,-14,-35,,,,,,,,,,,,,-0.003344322,-4.31034E-06,-0.005272727,-0.005636363,-0.003636364,-0.002727273,0.114999995,0.264999993,-0.009999998,0.085,-280,-153.8461538
-300,-9.56000042,-9.5,-9.600000381,0.01,0.02,0.090000004,-0.189999998,0.419999987,0.059999999,-0.100000001,0.100000001,0.039999999,0.140000001,-0.01,129,-15,-1,15,34,12,31,2,-26,12,-13,-23,0,-43,-29,-34,-61,-19,-26,-5,-6,-39,-17,-24,-17,6,-2,-4,-26,,,,,,,,,,,,,-0.003498169,-4.31034E-06,-0.005090909,-0.006545454,-0.003636364,-0.002727273,0.114999995,0.239999993,0,0.09,-300,-164.8351648
-315,-11.60000038,-11,-11.11999989,0.01,0.02,0.02,-0.180000007,0.419999987,-0.74000001,-0.109999999,0.100000001,0.029999999,0.189999998,-0.01,199,-28,-35,-1,35,15,37,2,-42,-27,-50,-35,-3,-49,-28,-45,-93,-27,-27,-13,-25,-38,-33,-40,-12,3,-13,-12,-29,,,,,,,,,,,,,-0.004245421,-4.31034E-06,-0.003636364,-0.021090909,-0.003818182,-0.003636364,0.11999999,-0.160000011,-0.004999999,0.109999998,-315,-173.0769231
-351,-13.06000042,-13,-12.81999969,0.01,0.02,0,-0.280000001,0.419999987,0.079999998,-0.109999999,0.100000001,0.029999999,0.200000003,-0.01,180,-42,-31,1,15,7,27,-11,-46,-24,-23,-49,-17,-57,-48,-57,-87,-35,-43,-20,-7,-55,-37,-41,-28,-13,-20,-21,-35,,,,,,,,,,,,,-0.00478022,-4.31034E-06,-0.005090909,-0.006181818,-0.003818182,-0.003818182,0.069999993,0.249999993,-0.004999999,0.115000001,-351,-192.8571429
-381,-15,-14.5,-14.53999996,0.01,0.029999999,0,-0.310000002,0.419999987,0.039999999,-0.209999993,0.100000001,0.029999999,0.209999993,-0.01,174,-35,-18,9,30,14,34,-18,-50,-16,-28,-32,-11,-41,-34,-47,-82,-32,-34,-11,1,-35,-29,-43,-24,-5,-6,-11,-32,,,,,,,,,,,,,-0.005490842,-8.62069E-06,-0.005636364,-0.006909091,-0.005636364,-0.004,0.054999992,0.229999993,-0.054999996,0.119999996,-381,-209.3406593
-396,-15.86999989,-15.5,-15.42000008,0.01,0.02,-0.029999999,-0.370000005,0.419999987,0.039999999,-0.209999993,0.100000001,0.029999999,0.230000004,-0.01,178,-30,-23,15,36,23,38,-3,-45,-10,-22,-24,-2,-40,-31,-42,-78,-19,-27,-9,-5,-32,-27,-35,-16,0,-1,-1,-26,,,,,,,,,,,,,-0.005809524,-4.31034E-06,-0.006181818,-0.006909091,-0.005636364,-0.004363636,0.024999991,0.229999993,-0.054999996,0.130000002,-396,-217.5824176
-426,-17.62999916,-17,-17.13999939,0.01,0.02,-0.090000004,-0.370000005,0.419999987,0.039999999,-0.209999993,0.100000001,0.029999999,0.25999999,-0.01,162,-46,-38,0,15,7,26,-8,-41,-29,-41,-49,-20,-50,-40,-58,-91,-33,-43,-19,-28,-54,-39,-47,-23,-11,-30,-26,-41,,,,,,,,,,,,,-0.006454212,-4.31034E-06,-0.005090909,-0.006909091,-0.005636364,-0.004909091,0.024999991,0.229999993,-0.054999996,0.144999995,-426,-234.0659341
-436,-18.65999985,-18,-18.02000046,0.01,0.02,-0.090000004,-0.379999995,0.419999987,0.039999999,-0.230000004,0.100000001,0.029999999,0.25999999,-0.01,175,-55,-47,7,18,12,38,-16,-48,-11,-30,-43,-13,-36,-32,-55,-85,-39,-42,-5,-9,-53,-37,-44,-29,-3,-10,-15,-36,,,,,,,,,,,,,-0.006831502,-4.31034E-06,-0.005272727,-0.006909091,-0.006,-0.004909091,0.019999996,0.229999993,-0.065000001,0.144999995,-436,-239.5604396
-456,-20.23999977,-19.5,-19.73999977,0.01,0.029999999,-0.090000004,-0.469999999,0.519999981,0.039999999,-0.310000002,0.090000004,0.02,0.25999999,-0.01,172,-32,-67,5,42,29,38,-1,-52,-29,-36,-31,-5,-34,-25,-37,-92,-25,-33,-18,-4,-23,-30,-42,-20,-1,-17,-2,-20,,,,,,,,,,,,,-0.007410256,-8.62069E-06,-0.006909091,-0.008727272,-0.007272727,-0.004909091,0.024999991,0.27999999,-0.109999999,0.139999995,-456,-250.5494505
-471,-33.84000015,-33,-33.06000137,0.01,0.029999999,0,-0.49000001,0.839999974,0.050000001,-0.209999993,0.569999993,-0.059999999,0.270000011,-0.029999999,201,-38,-40,-1,41,17,36,-16,-64,-48,-60,-63,-10,-52,-38,-56,-107,-30,-19,-13,-21,-40,-36,-46,-10,7,-8,-9,-29,,,,,,,,,,,,,-0.012384615,-8.62069E-06,-0.008909091,-0.014363636,-0.014181818,-0.005454546,0.174999982,0.444999987,0.18,0.105000006,-471,-258.7912088
-491,-36.70999908,-36.5,-36.75999832,0.01,0.029999999,0,-0.560000002,0.939999998,0.039999999,-0.209999993,0.649999976,-0.059999999,0.270000011,-0.029999999,201,-24,-34,11,46,-3,12,-21,-63,-31,-41,-65,-22,-68,-42,-57,-109,-26,-34,-21,-9,-31,-38,-57,-16,-6,-18,-3,-31,,,,,,,,,,,,,-0.013435897,-8.62069E-06,-0.010181818,-0.016363636,-0.015636363,-0.005454546,0.189999998,0.489999998,0.219999991,0.105000006,-491,-269.7802198
-506,-38.95999908,-38.5,-38.63999939,0.01,0.02,0,-0.560000002,1.049999952,0.039999999,-0.209999993,0.670000017,-0.07,0.270000011,-0.029999999,196,-38,-43,2,46,21,38,-16,-71,-23,-51,-55,-10,-56,-38,-48,-101,-31,-35,-10,-10,-48,-29,-46,-24,-5,-15,-7,-27,,,,,,,,,,,,,-0.014260073,-4.31034E-06,-0.010181818,-0.018363636,-0.016,-0.005454546,0.244999975,0.544999976,0.230000012,0.100000005,-506,-278.021978
-526,-42.36999893,-41.5,-42.29999924,0.01,0.029999999,0,-0.560000002,1.149999976,0.039999999,-0.209999993,0.769999981,-0.159999996,0.270000011,-0.029999999,212,-42,-35,-16,14,-18,23,-21,-84,-49,-40,-102,-29,-78,-66,-74,-104,-44,-48,-26,-1,-61,-50,-60,-29,-7,-15,-28,-58,,,,,,,,,,,,,-0.015509157,-8.62069E-06,-0.010181818,-0.020181818,-0.017818181,-0.005454546,0.294999987,0.594999988,0.279999994,0.055000007,-526,-289.010989
-536,-88.91000366,-88,-88.22000122,0.01,0.07,0.569999993,-0.289999992,3.359999895,0.860000014,0.300000012,2.5,-0.349999994,0.340000004,-0.029999999,185,-42,-74,-16,45,5,12,-26,-94,-79,-64,-99,-23,-79,-43,-61,-113,-32,-37,-25,-11,-33,-38,-61,-17,-4,-22,-4,-34,,,,,,,,,,,,,-0.032556778,-2.58621E-05,-0.015636363,-0.045454543,-0.04,-0.006727273,1.534999952,2.109999955,1.400000006,-0.004999995,-536,-294.5054945
-556,-174.8500061,-173.5,-174.8500061,0.01,0.189999998,1.679999948,-0.07,7.300000191,2.190000057,1.529999971,5.980000019,-0.449999988,0.910000026,-0.029999999,188,-57,-63,-1,37,-17,8,-28,-111,-63,-78,-106,-21,-67,-59,-69,-119,-32,-42,-8,-14,-48,-42,-68,-15,5,-8,-5,-34,,,,,,,,,,,,,-0.064036632,-7.75862E-05,-0.031818181,-0.092909093,-0.080909092,-0.01709091,3.615000095,4.745000124,3.754999995,0.230000019,-556,-305.4945055
