#CH_000_3a_2,CH_001_3a_2,CH_002_3a_2,CH_003_3a_2,GAMMA_3a_2,#CH_000_3a_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-5.000000,-0.120000,0.000000,0.000000,-0.000044,-5.000000
-150.000000,-0.240000,-0.500000,0.480000,-0.000088,-150.000000
-185.000000,-0.590000,-1.000000,0.020000,-0.000216,-185.000000
-240.000000,-1.640000,-1.500000,-0.760000,-0.000601,-240.000000
-260.000000,-1.490000,-2.000000,-1.100000,-0.000546,-260.000000
-290.000000,-1.790000,-2.500000,-1.600000,-0.000656,-290.000000
-310.000000,-2.280000,-3.000000,-1.940000,-0.000835,-310.000000
-356.000000,-3.020000,-4.000000,-2.760000,-0.001103,-356.000000
-411.000000,-4.550000,-4.500000,-3.760000,-0.001663,-411.000000
-416.000000,-4.820000,-5.000000,-4.020000,-0.001762,-416.000000
-476.000000,-5.680000,-6.000000,-5.360000,-0.002073,-476.000000
-491.000000,-5.800000,-6.500000,-5.780000,-0.002114,-491.000000
-526.000000,-7.410000,-7.000000,-6.580000,-0.002703,-526.000000
-551.000000,-7.780000,-7.500000,-7.400000,-0.002839,-551.000000
-576.000000,-8.690000,-8.500000,-8.240000,-0.003172,-576.000000
-586.000000,-9.200000,-9.000000,-8.640000,-0.003359,-586.000000
-606.000000,-10.590000,-9.500000,-9.400000,-0.003864,-606.000000
-616.000000,-12.520000,-12.000000,-11.440000,-0.004568,-616.000000
-636.000000,-13.130000,-12.500000,-12.280000,-0.004791,-636.000000
-676.000000,-13.880000,-14.500000,-13.940000,-0.005066,-676.000000
-706.000000,-16.290001,-16.000000,-15.620000,-0.005945,-706.000000
-721.000000,-17.670000,-17.000000,-16.440001,-0.006451,-721.000000
-751.000000,-18.709999,-18.500000,-18.120001,-0.006828,-751.000000
-776.000000,-20.049999,-20.500000,-19.780001,-0.007319,-776.000000
-796.000000,-30.440001,-30.000000,-29.639999,-0.011121,-796.000000
-836.000000,-34.259998,-33.500000,-33.220001,-0.012516,-836.000000
-871.000000,-37.389999,-37.500000,-36.779999,-0.013663,-871.000000
-881.000000,-38.419998,-39.000000,-38.580002,-0.014040,-881.000000
-906.000000,-42.599998,-42.000000,-42.160000,-0.015568,-906.000000
-921.000000,-87.500000,-86.500000,-86.400002,-0.032011,-921.000000
