CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
-15,-0.689999998,0,0.02,0,0,0,-0.100000001,3.799999952,-5.139999866,0,0,0,0.039999999,0,130,0.0018,0.162499994,0,-0.0007,0,-0.050000001,-0.670000017,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.000252747,0,-0.001818182,-0.162545451,0,-0.000727273,1.849999975,-0.669999957,0,0.02,-15,-8.241758242
10,0.289999992,0.5,0.02,0,0,0,-0.100000001,3.789999962,-5.139999866,0,0.01,0,0.01,0,-69,0.0018,0.162400007,-0.0002,-0.0002,0,-0.050000001,-0.675000012,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000106227,0,-0.001818182,-0.162363633,-0.000181818,-0.000181818,1.84499998,-0.674999952,0.005,0.005,10,5.494505495
65,0.620000005,1,0.02,0,0,0,-0.100000001,3.789999962,-5.139999866,0.039999999,0.090000004,-0.100000001,-0.029999999,0,-37,0.0018,0.162400007,-0.0009,-0.0014,0,-0.050000001,-0.675000012,0.064999998,-0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000227106,0,-0.001818182,-0.162363633,-0.000909091,0.000545455,1.84499998,-0.674999952,0.065000001,-0.065,65,35.71428571
135,0.540000021,1.5,0.540000021,0,0,0,-0.100000001,3.799999952,-5.139999866,0.100000001,0.189999998,-0.200000003,-0.170000002,0,-50,0.0018,0.162499994,-0.0016,-0.0005,0,-0.050000001,-0.670000017,0.144999996,-0.185000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000197802,0,-0.001818182,-0.162545451,-0.001636364,0.003090909,1.849999975,-0.669999957,0.145,-0.185000002,135,74.17582418
165,0.889999986,2,0.980000019,0,0,0,-0.100000001,3.799999952,-5.139999866,0.209999993,0.189999998,-0.289999992,-0.25999999,0,-68,0.0018,0.162499994,0.0004,-0.0005,0,-0.050000001,-0.670000017,0.200000003,-0.275000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000326007,0,-0.001818182,-0.162545451,0.000363636,0.004727273,1.849999975,-0.669999957,0.199999996,-0.274999991,165,90.65934066
225,1.649999976,2.5,1.700000048,0,0.01,0,-0.090000004,3.799999952,-5.139999866,0.280000001,0.289999992,-0.460000008,-0.479999989,0,-106,0.0016,0.162499994,-0.0002,0.0003,0,-0.045000002,-0.670000017,0.284999996,-0.467500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000604396,-4.31034E-06,-0.001636364,-0.162545451,-0.000181818,0.008727273,1.854999974,-0.669999957,0.284999996,-0.469999999,225,123.6263736
245,2.160000086,3,2,0,0,0,-0.07,3.799999952,-5.139999866,0.310000002,0.280000001,-0.479999989,-0.560000002,0,-110,0.0013,0.162499994,0.0005,0.0015,0,-0.035,-0.670000017,0.294999987,-0.519999981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000791209,0,-0.001272727,-0.162545451,0.000545455,0.010181818,1.864999976,-0.669999957,0.295000002,-0.519999996,245,134.6153846
270,2.700000048,3.5,2.480000019,0,0.01,0,-0.01,3.799999952,-5.139999866,0.310000002,0.280000001,-0.670000017,-0.709999979,0,-73,0.0002,0.162499994,0.0005,0.0008,0,-0.005,-0.670000017,0.294999987,-0.692499995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.000989011,-4.31034E-06,-0.000181818,-0.162545451,0.000545455,0.012909091,1.894999976,-0.669999957,0.295000002,-0.689999998,270,148.3516484
310,3.789999962,4,3.319999933,0,0.01,0.059999999,-0.01,3.890000105,-5.139999866,0.409999996,0.379999995,-0.860000014,-0.970000029,0,-42,0.0013,0.164199993,0.0005,0.002,0,0.025,-0.625,0.395000011,-0.915000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001388278,-4.31034E-06,-0.001272727,-0.164181818,0.000545455,0.017636364,1.940000053,-0.624999881,0.394999996,-0.915000021,310,170.3296703
325,3.519999981,4.5,3.660000086,0,0,0.100000001,0,3.900000095,-5.139999866,0.409999996,0.379999995,-0.970000029,-1.100000024,0,-60,0.0018,0.164399996,0.0005,0.0023,0,0.050000001,-0.620000005,0.395000011,-1.032500029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0.001289377,0,-0.001818182,-0.164363636,0.000545455,0.02,1.950000048,-0.619999886,0.394999996,-1.035000026,325,178.5714286
