#CH_000_2a_2,CH_001_2a_2,CH_002_2a_2,CH_003_2a_2,GAMMA_2a_2,#CH_000_2a_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30.000000,-1.010000,1.000000,0.060000,-0.000370,30.000000
60.000000,0.660000,1.500000,0.640000,0.000242,60.000000
80.000000,0.600000,2.000000,1.100000,0.000220,80.000000
95.000000,0.800000,2.500000,1.540000,0.000293,95.000000
110.000000,1.470000,3.000000,1.820000,0.000538,110.000000
125.000000,1.700000,3.500000,2.240000,0.000623,125.000000
155.000000,2.700000,4.000000,3.020000,0.000989,155.000000
170.000000,2.900000,4.500000,3.340000,0.001062,170.000000
185.000000,3.190000,5.000000,3.820000,0.001168,185.000000
205.000000,4.400000,5.500000,4.360000,0.001612,205.000000
215.000000,4.690000,6.000000,5.000000,0.001718,215.000000
245.000000,4.630000,7.000000,5.760000,0.001696,245.000000
270.000000,5.880000,7.500000,6.580000,0.002154,270.000000
285.000000,6.190000,8.000000,7.020000,0.002267,285.000000
310.000000,7.020000,8.500000,7.800000,0.002571,310.000000
336.000000,8.850000,9.500000,8.600000,0.003242,336.000000
346.000000,7.990000,10.000000,9.000000,0.002930,346.000000
371.000000,9.020000,11.000000,9.840000,0.003304,371.000000
381.000000,11.270000,12.000000,11.360000,0.004128,381.000000
421.000000,13.010000,14.000000,13.040000,0.004769,421.000000
441.000000,13.930000,15.000000,13.860000,0.005106,441.000000
476.000000,14.980000,16.500000,15.560000,0.005487,476.000000
506.000000,17.629999,18.000000,17.240000,0.006458,506.000000
521.000000,17.780001,18.500000,18.180000,0.006516,521.000000
546.000000,19.610001,20.000000,19.879999,0.007183,546.000000
551.000000,20.770000,21.500000,21.320000,0.007608,551.000000
586.000000,26.120001,27.000000,26.680000,0.009571,586.000000
606.000000,28.469999,29.000000,28.559999,0.010432,606.000000
636.000000,31.830000,32.500000,32.160000,0.011663,636.000000
656.000000,36.320000,36.000000,35.740002,0.013308,656.000000
