#CH_000_4a_2,CH_001_4a_2,CH_002_4a_2,CH_003_4a_2,GAMMA_4a_2,#CH_000_4a_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,-0.030000,0.000000,0.000000,-0.000011,0.000000
-90.000000,-0.210000,-0.500000,-0.100000,-0.000077,-90.000000
-120.000000,-0.980000,-1.000000,-0.620000,-0.000359,-120.000000
-155.000000,-1.460000,-1.500000,-1.240000,-0.000535,-155.000000
-160.000000,-2.000000,-2.000000,-1.360000,-0.000733,-160.000000
-195.000000,-2.090000,-2.500000,-1.960000,-0.000766,-195.000000
-220.000000,-2.990000,-3.000000,-2.460000,-0.001095,-220.000000
-245.000000,-3.500000,-3.500000,-2.960000,-0.001282,-245.000000
-275.000000,-4.210000,-4.000000,-3.640000,-0.001542,-275.000000
-300.000000,-4.490000,-4.500000,-4.160000,-0.001645,-300.000000
-346.000000,-5.850000,-5.500000,-5.260000,-0.002143,-346.000000
-361.000000,-6.180000,-6.000000,-5.660000,-0.002264,-361.000000
-396.000000,-6.700000,-6.500000,-6.480000,-0.002454,-396.000000
-421.000000,-7.650000,-7.000000,-7.300000,-0.002799,-421.000000
-436.000000,-7.800000,-8.000000,-7.720000,-0.002857,-436.000000
-461.000000,-8.320000,-8.500000,-8.540000,-0.003048,-461.000000
-486.000000,-10.100000,-9.000000,-9.400000,-0.003696,-486.000000
-531.000000,-12.200000,-11.500000,-11.940000,-0.004465,-531.000000
-571.000000,-14.090000,-13.500000,-13.600000,-0.005158,-571.000000
-591.000000,-14.820000,-14.000000,-14.440000,-0.005425,-591.000000
-631.000000,-16.559999,-16.000000,-16.100000,-0.006059,-631.000000
-666.000000,-18.230000,-17.500000,-17.780001,-0.006670,-666.000000
-696.000000,-19.969999,-19.000000,-19.440001,-0.007308,-696.000000
-711.000000,-20.840000,-20.000000,-20.280001,-0.007626,-711.000000
-736.000000,-29.540001,-29.000000,-29.000000,-0.010813,-736.000000
-781.000000,-32.500000,-32.000000,-32.580002,-0.011897,-781.000000
-801.000000,-34.240002,-34.000000,-34.400002,-0.012535,-801.000000
-831.000000,-38.959999,-37.000000,-37.959999,-0.014267,-831.000000
-861.000000,-41.980000,-41.000000,-41.520000,-0.015370,-861.000000
-871.000000,-43.740002,-43.000000,-43.279999,-0.016018,-871.000000
