CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
265,8.159999847,8,7.860000134,0,0.02,0.189999998,0.280000001,0.109999999,0.100000001,0.100000001,0,0.029999999,-0.140000001,-0.01,106,-3,-8,9,28,15,13,6,-7,-16,7,12,-3,-34,-6,-30,-68,-12,-11,-14,-11,-24,-36,-35,-10,7,-20,-11,-21,,,,,,,,,,,,,0.002992674,-8.62069E-06,0.001636364,-0.000181818,0.001818182,0.002363636,0.195,0.105,0.050000001,-0.055000001,265,145.6043956
275,9.239999771,8.5,8.319999695,0.01,0.02,0.189999998,0.319999993,0.109999999,0.119999997,0.100000001,0,0.029999999,-0.170000002,-0.01,101,-18,-17,8,19,12,28,-11,-23,-19,-13,-5,-4,-31,-17,-36,-71,-22,-21,-13,1,-30,-27,-33,-18,-2,-7,-15,-27,,,,,,,,,,,,,0.003388278,-4.31034E-06,0.002363636,0.000181818,0.001818182,0.002909091,0.214999996,0.114999998,0.050000001,-0.070000001,275,151.0989011
295,10.31000042,9.5,9.180000305,0.01,0.02,0.239999995,0.379999995,0.100000001,0.119999997,0.100000001,0,0.029999999,-0.189999998,-0.01,104,-27,-12,16,22,17,37,-6,-28,2,-18,-4,9,-12,-27,-28,-54,-17,-33,-9,-5,-38,-16,-20,-26,-8,0,-9,-22,,,,,,,,,,,,,0.00378022,-4.31034E-06,0.002545455,0.000363636,0.001818182,0.003272727,0.239999998,0.109999999,0.050000001,-0.079999999,295,162.0879121
315,10.38000011,10.5,10.06000042,0.01,0.02,0.289999992,0.379999995,0.109999999,0.119999997,0.200000003,0,0.029999999,-0.209999993,-0.01,105,-27,-11,4,17,4,16,-13,-22,-16,-4,-19,-11,-37,-26,-48,-66,-31,-31,-19,8,-40,-32,-35,-20,-11,-9,-19,-32,,,,,,,,,,,,,0.003805861,-4.31034E-06,0.001636364,0.000181818,0.003636364,0.003636364,0.244999997,0.114999998,0.100000001,-0.089999997,315,173.0769231
336,12.35000038,12,11.64000034,0.01,0.02,0.349999994,0.569999993,0.209999993,0.219999999,0.200000003,0,0.029999999,-0.289999992,-0.01,182,-24,-2,13,33,0,11,-6,-35,0,-28,-43,-15,-64,-40,-54,-86,-31,-34,-11,-10,-49,-32,-44,-19,1,-11,-5,-29,,,,,,,,,,,,,0.004527473,-4.31034E-06,0.004,0.000181818,0.003636364,0.005090909,0.389999993,0.214999996,0.100000001,-0.129999996,336,184.6153846
351,12.90999985,13,12.5,0.01,0.029999999,0.379999995,0.569999993,0.209999993,0.219999999,0.200000003,0,0.02,-0.360000014,-0.01,165,-33,-20,1,38,7,36,-2,-43,-25,-45,-58,-2,-50,-37,-52,-83,-14,-22,-15,-31,-41,-23,-27,0,3,-22,-19,-30,,,,,,,,,,,,,0.004732601,-8.62069E-06,0.003454545,0.000181818,0.003636364,0.006363637,0.389999993,0.214999996,0.100000001,-0.170000007,351,192.8571429
381,14.69999981,14.5,14.22000027,0.01,0.02,0.379999995,0.649999976,0.129999995,0.209999993,0.200000003,0,-0.059999999,-0.360000014,-0.01,170,-32,-13,1,22,11,31,-8,-38,-24,-44,-50,-16,-59,-32,-50,-83,-26,-36,-19,-15,-45,-26,-42,-26,-2,-12,-10,-29,,,,,,,,,,,,,0.005388278,-4.31034E-06,0.004909091,0.001454545,0.003636364,0.006363637,0.389999986,0.169999994,0.100000001,-0.210000006,381,209.3406593
411,16.20999908,16.5,15.89999962,0.01,0.02,0.379999995,0.660000026,0.109999999,0.230000004,0.200000003,0,-0.059999999,-0.360000014,-0.01,185,-23,-16,7,40,10,31,-6,-56,-11,-36,-51,-4,-44,-36,-46,-91,-29,-27,-10,-3,-28,-33,-43,-12,-1,-6,-3,-25,,,,,,,,,,,,,0.005941392,-4.31034E-06,0.00509091,0.002181818,0.003636364,0.006363637,0.385000013,0.170000002,0.100000001,-0.210000006,411,225.8241758
421,17.36000061,17.5,16.79999924,0.01,0.02,0.379999995,0.660000026,0.090000004,0.209999993,0.200000003,0,-0.059999999,-0.360000014,-0.01,175,-40,-12,-7,19,-7,20,-14,-56,-12,-31,-61,-20,-58,-46,-62,-86,-39,-43,-17,-9,-49,-40,-52,-21,-5,-13,-23,-47,,,,,,,,,,,,,0.006362638,-4.31034E-06,0.00509091,0.002181818,0.003636364,0.006363637,0.375000015,0.149999999,0.100000001,-0.210000006,421,231.3186813
441,18.89999962,19,18.54000092,0.01,0.02,0.379999995,0.75999999,0,0.209999993,0.200000003,0,-0.059999999,-0.389999986,-0.01,165,-28,-12,8,43,25,44,11,-20,1,-30,-16,8,-50,-18,-37,-75,-6,-21,-4,-16,-36,-16,-25,-10,15,-2,1,-21,,,,,,,,,,,,,0.00692674,-4.31034E-06,0.006909091,0.003818182,0.003636364,0.006909091,0.379999995,0.104999997,0.100000001,-0.224999992,441,242.3076923
446,20.02000046,19.5,19.44000053,0.01,0.02,0.379999995,0.75999999,0,0.219999999,0.200000003,0,-0.059999999,-0.439999998,-0.01,181,-38,-20,0,34,9,27,-7,-44,-6,-9,-41,-7,-53,-39,-53,-76,-26,-32,-18,2,-43,-29,-40,-16,-3,-14,-11,-32,,,,,,,,,,,,,0.007336997,-4.31034E-06,0.006909091,0.004,0.003636364,0.007818182,0.379999995,0.109999999,0.100000001,-0.249999998,446,245.0549451
461,22.05999947,21,21.15999985,0.01,0.02,0.379999995,0.850000024,0,0.180000007,0.270000011,-0.02,-0.059999999,-0.529999971,-0.01,183,-17,7,20,43,17,43,0,-39,7,-40,-38,15,-33,-30,-38,-70,-13,-18,3,-23,-35,-16,-26,-6,11,3,-4,-20,,,,,,,,,,,,,0.008084249,-4.31034E-06,0.008545455,0.003272727,0.005272727,0.009454545,0.425000012,0.090000004,0.125000006,-0.294999985,461,253.2967033
501,30.59000015,30,29.68000031,0.01,0.02,0.479999989,1.129999995,-0.01,0.200000003,0.610000014,0.230000004,-0.059999999,-0.579999983,-0.02,211,-50,-26,5,35,10,29,-28,-92,-52,-62,-78,-11,-62,-61,-55,-100,-35,-39,-5,-12,-54,-32,-45,-29,2,3,-12,-42,,,,,,,,,,,,,0.011212454,-4.31034E-06,0.011818182,0.003818182,0.006909091,0.010181818,0.559999998,0.095000002,0.420000009,-0.319999991,501,275.2747253
516,32.52000046,32.5,31.71999931,0.01,0.02,0.479999989,1.220000029,-0.100000001,0.200000003,0.629999995,0.270000011,-0.029999999,-0.620000005,-0.02,197,-45,-44,0,36,17,43,-8,-69,-59,-64,-79,-10,-54,-42,-50,-100,-29,-37,-13,-22,-40,-23,-41,-23,-1,-14,-1,-23,,,,,,,,,,,,,0.011919414,-4.31034E-06,0.013454546,0.005454546,0.006545454,0.010909091,0.560000014,0.050000001,0.450000003,-0.325000002,516,283.5164835
541,36,36,35.38000107,0.01,0.029999999,0.479999989,1.320000052,-0.100000001,0.170000002,0.709999979,0.289999992,0.029999999,-0.660000026,-0.02,203,-36,-38,14,37,3,24,-25,-71,-30,-61,-70,-19,-58,-49,-59,-100,-35,-35,-11,-17,-46,-39,-50,-23,-4,-9,-14,-35,,,,,,,,,,,,,0.013194139,-8.62069E-06,0.015272728,0.004909091,0.007636363,0.011636364,0.610000025,0.035,0.499999985,-0.315000013,541,297.2527473
556,37.86999893,38,37.25999832,0.01,0.02,0.529999971,1.399999976,-0.100000001,0.150000006,0.709999979,0.280000001,0.029999999,-0.680000007,-0.02,199,-47,-43,1,26,4,35,-20,-83,-45,-74,-87,-17,-59,-55,-57,-95,-40,-48,-23,-29,-44,-35,-53,-26,-12,-18,-16,-40,,,,,,,,,,,,,0.01387912,-4.31034E-06,0.015818182,0.004545455,0.007818181,0.012,0.649999987,0.025000002,0.49499999,-0.325000004,556,305.4945055
576,41.95000076,41.5,40.84000015,0.01,0.02,0.569999993,1.50999999,-0.100000001,-0.529999971,0.819999993,0.289999992,0.029999999,-0.689999998,-0.02,211,-29,-23,9,38,7,29,-10,-55,-19,-45,-55,-16,-54,-41,-51,-90,-36,-34,-11,-16,-40,-33,-45,-16,-2,-14,-12,-36,,,,,,,,,,,,,0.015373627,-4.31034E-06,0.017090909,-0.007818181,0.009636364,0.012181818,0.704999994,-0.314999986,0.554999992,-0.329999999,576,316.4835165
601,78.51000214,78.5,76.86000061,0.01,0.02,0.860000014,2.799999952,-0.519999981,0.349999994,0.610000014,-0.189999998,1.00999999,-0.579999983,-0.029999999,201,-49,-45,16,29,10,16,-37,-74,-37,-57,-85,-17,-72,-52,-69,-104,-42,-41,-5,-7,-52,-48,-56,-21,0,-8,-6,-52,,,,,,,,,,,,,0.028769232,-4.31034E-06,0.035272726,0.015818181,0.014545455,0.01,1.139999986,-0.084999993,0.210000008,0.215000004,601,330.2197802
621,85.56999969,86,83.87999725,0.01,0.02,0.949999988,3.119999886,-0.629999995,0.349999994,0.709999979,-0.189999998,1.230000019,-0.569999993,-0.029999999,179,-49,-63,0,33,17,29,-24,-83,-65,-79,-91,-12,-57,-34,-56,-107,-40,-48,-8,-12,-33,-37,-58,-24,-2,-13,6,-26,,,,,,,,,,,,,0.031355311,-4.31034E-06,0.039454544,0.017818182,0.016363636,0.009818182,1.244999945,-0.140000001,0.25999999,0.330000013,621,341.2087912
631,89.5,89.5,87.59999847,0.01,0.02,0.980000019,3.25,-0.629999995,0.349999994,0.709999979,-0.219999999,1.330000043,-0.560000002,-0.029999999,178,-42,-44,17,32,-6,10,-30,-80,-41,-57,-88,-14,-67,-43,-67,-115,-27,-30,-1,-11,-46,-48,-61,-17,10,-7,-7,-40,,,,,,,,,,,,,0.032794872,-4.31034E-06,0.041272727,0.017818182,0.01690909,0.009636364,1.310000002,-0.140000001,0.24499999,0.38500002,631,346.7032967
