#CH_000_1b_2	CH_001_1b_2	CH_002_1b_2	CH_003_1b_2	GAMMA_1b_2	#CH_000_1b_2
-1387.000000	-43.439999	-43.500000	-42.599998	-0.015912	-1387.000000
-1332.000000	-39.459999	-40.500000	-39.180000	-0.014454	-1332.000000
-1297.000000	-38.110001	-38.500000	-37.459999	-0.013960	-1297.000000
-1217.000000	-34.590000	-34.000000	-34.020000	-0.012670	-1217.000000
-1117.000000	-30.910000	-31.000000	-30.520000	-0.011322	-1117.000000
-1012.000000	-20.889999	-21.000000	-20.219999	-0.007656	-1012.000000
-956.000000	-18.840000	-19.500000	-18.600000	-0.006905	-956.000000
-896.000000	-17.070000	-18.000000	-16.959999	-0.006256	-896.000000
-861.000000	-16.840000	-16.500000	-16.120001	-0.006172	-861.000000
-796.000000	-14.790000	-15.000000	-14.420000	-0.005421	-796.000000
-731.000000	-9.870000	-10.500000	-9.580000	-0.003619	-731.000000
-706.000000	-9.380000	-9.500000	-8.880000	-0.003440	-706.000000
-686.000000	-8.990000	-9.000000	-8.480000	-0.003297	-686.000000
-641.000000	-8.110000	-8.500000	-7.680000	-0.002974	-641.000000
-576.000000	-7.150000	-7.500000	-6.480000	-0.002623	-576.000000
-536.000000	-6.010000	-6.000000	-5.700000	-0.002205	-536.000000
-496.000000	-5.000000	-5.500000	-4.900000	-0.001835	-496.000000
-481.000000	-4.090000	-5.000000	-4.200000	-0.001495	-481.000000
-461.000000	-4.240000	-4.500000	-3.880000	-0.001549	-461.000000
-436.000000	-3.490000	-4.000000	-3.400000	-0.001275	-436.000000
-386.000000	-2.790000	-3.500000	-2.580000	-0.001022	-386.000000
-346.000000	-2.430000	-3.000000	-1.920000	-0.000886	-346.000000
-310.000000	-1.820000	-2.500000	-1.420000	-0.000663	-310.000000
-285.000000	-1.710000	-2.000000	-1.080000	-0.000623	-285.000000
-250.000000	-0.810000	-1.500000	-0.580000	-0.000297	-250.000000
-220.000000	-0.270000	-1.000000	-0.260000	-0.000095	-220.000000
-180.000000	-0.210000	-0.500000	0.220000	-0.000077	-180.000000
10.000000	0.500000	0.000000	0.000000	0.000187	10.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10.000000	0.500000	0.000000	0.000000	0.000187	10.000000
35.000000	0.320000	0.500000	0.000000	0.000117	35.000000
170.000000	1.160000	1.000000	0.560000	0.000429	170.000000
220.000000	1.500000	1.500000	0.960000	0.000553	220.000000
265.000000	1.680000	2.000000	1.380000	0.000619	265.000000
315.000000	2.570000	2.500000	2.020000	0.000945	315.000000
325.000000	2.980000	3.000000	2.200000	0.001092	325.000000
376.000000	3.290000	3.500000	3.040000	0.001205	376.000000
411.000000	4.370000	4.000000	3.700000	0.001601	411.000000
446.000000	4.760000	4.500000	4.620000	0.001747	446.000000
496.000000	5.420000	5.500000	5.440000	0.001989	496.000000
566.000000	7.300000	6.500000	6.740000	0.002678	566.000000
611.000000	7.810000	7.500000	7.580000	0.002861	611.000000
676.000000	8.940000	8.500000	8.840000	0.003271	676.000000
696.000000	9.680000	9.000000	9.620000	0.003542	696.000000
771.000000	12.520000	12.000000	12.540000	0.004582	771.000000
851.000000	14.350000	14.000000	14.220000	0.005253	851.000000
891.000000	15.160000	14.500000	15.080000	0.005549	891.000000
956.000000	17.790001	16.000000	16.760000	0.006513	956.000000
1017.000000	18.440001	18.000000	18.420000	0.006751	1017.000000
1047.000000	20.450001	18.500000	19.340000	0.007487	1047.000000
1052.000000	21.350000	20.000000	20.780001	0.007817	1052.000000
1142.000000	27.150000	26.000000	26.639999	0.009949	1142.000000
1202.000000	28.719999	27.500000	28.500000	0.010524	1202.000000
1307.000000	32.560001	31.000000	32.080002	0.011930	1307.000000
1382.000000	36.320000	34.500000	35.660000	0.013308	1382.000000
1417.000000	37.790001	36.500000	37.459999	0.013846	1417.000000
1467.000000	41.520000	40.000000	40.959999	0.015212	1467.000000
1472.000000	67.440002	64.500000	66.519997	0.024700	1472.000000
