#CH_000_1a_2,CH_001_1a_2,CH_002_1a_2,CH_003_1a_2,GAMMA_1a_2,#CH_000_1a_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,0.690000,0.000000,0.220000,0.000256,15.000000
-45.000000,0.020000,-0.500000,0.580000,0.000011,-45.000000
-60.000000,-0.540000,-1.000000,-0.080000,-0.000194,-60.000000
-70.000000,-1.100000,-2.000000,-0.600000,-0.000399,-70.000000
-85.000000,-1.700000,-2.500000,-1.260000,-0.000619,-85.000000
-95.000000,-2.280000,-3.000000,-1.760000,-0.000832,-95.000000
-100.000000,-2.360000,-3.500000,-2.100000,-0.000861,-100.000000
-110.000000,-3.050000,-4.000000,-2.980000,-0.001114,-110.000000
-120.000000,-3.430000,-4.500000,-3.500000,-0.001256,-120.000000
-125.000000,-4.480000,-5.000000,-3.840000,-0.001637,-125.000000
-140.000000,-5.000000,-6.000000,-4.940000,-0.001828,-140.000000
-150.000000,-6.240000,-6.500000,-5.780000,-0.002282,-150.000000
-155.000000,-7.530000,-7.000000,-6.180000,-0.002755,-155.000000
-165.000000,-6.750000,-7.500000,-7.020000,-0.002469,-165.000000
-180.000000,-8.130000,-8.500000,-7.840000,-0.002974,-180.000000
-190.000000,-8.880000,-9.000000,-8.680000,-0.003249,-190.000000
-195.000000,-10.730000,-11.000000,-10.500000,-0.003927,-195.000000
-220.000000,-12.260000,-13.000000,-12.180000,-0.004487,-220.000000
-230.000000,-13.400000,-13.500000,-13.020000,-0.004905,-230.000000
-250.000000,-14.940000,-15.000000,-14.700000,-0.005465,-250.000000
-270.000000,-16.000000,-17.000000,-16.379999,-0.005853,-270.000000
-275.000000,-17.299999,-17.500000,-17.200001,-0.006330,-275.000000
-295.000000,-19.290001,-19.500000,-18.900000,-0.007059,-295.000000
-310.000000,-21.440001,-21.000000,-20.540001,-0.007846,-310.000000
-315.000000,-26.010000,-26.000000,-25.559999,-0.009520,-315.000000
-351.000000,-29.540001,-30.000000,-29.160000,-0.010810,-351.000000
-366.000000,-31.500000,-31.500000,-30.940001,-0.011527,-366.000000
-386.000000,-35.270000,-35.500000,-34.540001,-0.012908,-386.000000
-411.000000,-38.599998,-38.500000,-38.139999,-0.014125,-411.000000
-416.000000,-40.209999,-40.000000,-39.919998,-0.014711,-416.000000
-426.000000,-44.029999,-43.500000,-43.340000,-0.016110,-426.000000
-441.000000,-85.739998,-85.000000,-84.540001,-0.031392,-441.000000
-451.000000,-89.080002,-88.500000,-88.019997,-0.032615,-451.000000
-471.000000,-151.740005,-150.000000,-151.740005,-0.055564,-471.000000
-501.000000,-165.880005,-164.500000,-165.880005,-0.060744,-501.000000
-516.000000,-178.949997,-178.500000,-178.949997,-0.065527,-516.000000
