#CH_000_4b_2,CH_001_4b_2,CH_002_4b_2,CH_003_4b_2,GAMMA_4b_2,#CH_000_4b_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.000000,0.780000,0.000000,0.040000,0.000286,15.000000
275.000000,0.920000,1.000000,0.760000,0.000337,275.000000
411.000000,1.680000,2.000000,1.860000,0.000615,411.000000
461.000000,3.170000,2.500000,2.420000,0.001161,461.000000
506.000000,3.400000,3.000000,2.980000,0.001245,506.000000
541.000000,3.800000,3.500000,3.560000,0.001392,541.000000
566.000000,4.340000,4.000000,4.100000,0.001590,566.000000
636.000000,5.470000,5.000000,5.600000,0.002004,636.000000
686.000000,6.580000,5.500000,6.400000,0.002410,686.000000
726.000000,6.870000,6.500000,7.180000,0.002516,726.000000
766.000000,7.830000,7.000000,7.980000,0.002868,766.000000
806.000000,8.530000,8.000000,8.760000,0.003125,806.000000
846.000000,9.170000,8.500000,9.540000,0.003359,846.000000
946.000000,11.800000,10.500000,11.760000,0.004322,946.000000
1047.000000,12.940000,12.000000,13.300000,0.004740,1047.000000
1132.000000,14.800000,14.000000,14.880000,0.005421,1132.000000
1217.000000,16.379999,15.000000,16.459999,0.006000,1217.000000
1297.000000,17.670000,16.500000,18.020000,0.006473,1297.000000
1372.000000,19.230000,18.000000,19.580000,0.007044,1372.000000
1407.000000,20.780001,19.000000,20.959999,0.007582,1407.000000
1462.000000,24.120001,22.000000,24.200001,0.008799,1462.000000
1607.000000,26.750000,25.500000,27.480000,0.009736,1607.000000
1718.000000,30.410000,28.500000,30.900000,0.011066,1718.000000
1808.000000,33.759998,31.500000,34.279999,0.012289,1808.000000
1823.000000,37.110001,35.000000,37.660000,0.013516,1823.000000
1878.000000,40.619999,38.500000,40.980000,0.014806,1878.000000
