CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.@01,CH.@02,CH.@03,CH.@04,CH.@05,CH.@06,CH.@07,CH.@08,CH.@09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
-165,-6.75,-7.5,-7.019999981,0,0,0,-0.189999998,0.310000002,0.100000001,-0.100000001,-0.01,-0.100000001,0.100000001,-0.01,44,0.0035,0.0038,-0.0016,-0.0035,0,-0.094999999,0.204999998,-0.055,-0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.002468864,0,-0.003454545,-0.003818182,-0.001636364,-0.002,0.060000002,0.205000002,-0.055000001,0,-165,-90.65934066
-180,-8.130000114,-8.5,-7.840000153,0,0,-0.090000004,-0.189999998,0.310000002,0.100000001,-0.140000001,0.02,-0.100000001,0.100000001,-0.01,35,0.0018,0.0038,-0.0029,-0.0036,0,-0.140000001,0.204999998,-0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.002974359,0,-0.001818182,-0.003818182,-0.002909091,-0.002,0.060000002,0.205000002,-0.060000001,0,-180,-98.9010989
-190,-8.880000114,-9,-8.680000305,0,0.01,-0.100000001,-0.189999998,0.319999993,0.100000001,-0.200000003,0.029999999,-0.100000001,0.109999999,-0.01,28,0.0016,0.004,-0.0042,-0.0038,0,-0.144999996,0.209999993,-0.085000001,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.003249084,-4.31034E-06,-0.001636364,-0.004,-0.004181818,-0.002181818,0.064999998,0.209999997,-0.085000002,0.004999999,-190,-104.3956044
-195,-10.72999954,-11,-10.5,0,-0.02,-0.090000004,-0.270000011,0.419999987,0.200000003,-0.200000003,0.029999999,-0.100000001,0.140000001,-0.01,62,0.0033,0.004,-0.0042,-0.0043,0,-0.180000007,0.310000002,-0.085000001,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.00392674,8.62069E-06,-0.003272727,-0.004,-0.004181818,-0.002727273,0.074999988,0.309999995,-0.085000002,0.02,-195,-107.1428571
-220,-12.26000023,-13,-12.18000031,0,-0.02,-0.100000001,-0.280000001,0.519999981,0.200000003,-0.300000012,0.029999999,-0.100000001,0.170000002,-0.01,61,0.0033,0.0058,-0.006,-0.0048,0,-0.189999998,0.360000014,-0.135000005,0.032499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.00448718,8.62069E-06,-0.003272727,-0.005818181,-0.006,-0.003272727,0.11999999,0.359999992,-0.135000006,0.035,-220,-120.8791209
-230,-13.39999962,-13.5,-13.02000046,0,-0.02,-0.100000001,-0.280000001,0.529999971,0.200000003,-0.310000002,0.029999999,-0.100000001,0.170000002,-0.01,4,0.0033,0.006,-0.0062,-0.0049,0,-0.189999998,0.36500001,-0.140000001,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.004904762,8.62069E-06,-0.003272727,-0.005999999,-0.006181818,-0.003272727,0.124999985,0.364999987,-0.140000002,0.035,-230,-126.3736264
-250,-14.93999958,-15,-14.69999981,0,-0.02,-0.090000004,-0.280000001,0.620000005,0.310000002,-0.330000013,0.029999999,-0.119999997,0.180000007,-0.02,13,0.0035,0.0056,-0.0065,-0.0055,0,-0.185000002,0.465000004,-0.150000006,0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.005465201,8.62069E-06,-0.003454545,-0.005636364,-0.006545455,-0.003636364,0.170000002,0.465000004,-0.150000007,0.030000005,-250,-137.3626374
-270,-16,-17,-16.37999916,0,-0.02,-0.090000004,-0.280000001,0.629999995,0.289999992,-0.409999996,0.029999999,-0.189999998,0.189999998,-0.02,73,0.0035,0.0062,-0.008,-0.0069,0,-0.185000002,0.460000008,-0.189999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.00585348,8.62069E-06,-0.003454545,-0.006181818,-0.008,-0.003818182,0.174999997,0.459999993,-0.189999999,0,-270,-148.3516484
-275,-17.29999924,-17.5,-17.20000076,0,-0.02,-0.100000001,-0.280000001,0.629999995,0.219999999,-0.409999996,0.029999999,-0.189999998,0.200000003,-0.02,75,0.0033,0.0075,-0.008,-0.007,0,-0.189999998,0.425000012,-0.189999998,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.00632967,8.62069E-06,-0.003272727,-0.007454545,-0.008,-0.004,0.174999997,0.424999997,-0.189999999,0.005000003,-275,-151.0989011
-295,-19.29000092,-19.5,-18.89999962,0,-0.02,-0.090000004,-0.280000001,0.629999995,0.200000003,-0.50999999,0,-0.189999998,0.209999993,-0.02,26,0.0035,0.0078,-0.0093,-0.0073,0,-0.185000002,0.414999992,-0.254999995,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-0.007058608,8.62069E-06,-0.003454545,-0.007818182,-0.009272727,-0.004181818,0.174999997,0.414999999,-0.254999995,0.009999998,-295,-162.0879121
