#CH_000_3a_2,CH_001_3a_2,CH_002_3a_2,CH_003_3a_2,GAMMA_3a_2,#CH_000_3a_2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-5.000000,-0.120000,0.000000,0.000000,-0.000044,-5.000000
30.000000,0.170000,0.500000,0.020000,0.000062,30.000000
110.000000,0.290000,1.000000,0.600000,0.000106,110.000000
150.000000,1.260000,1.500000,1.020000,0.000462,150.000000
210.000000,2.100000,2.000000,1.720000,0.000769,210.000000
240.000000,2.540000,2.500000,2.200000,0.000930,240.000000
275.000000,2.990000,3.000000,2.820000,0.001095,275.000000
300.000000,3.500000,3.500000,3.320000,0.001282,300.000000
320.000000,4.120000,4.000000,3.660000,0.001509,320.000000
356.000000,4.670000,4.500000,4.360000,0.001711,356.000000
386.000000,5.200000,5.000000,4.900000,0.001905,386.000000
406.000000,5.590000,5.500000,5.300000,0.002048,406.000000
441.000000,6.640000,6.000000,6.140000,0.002432,441.000000
476.000000,7.110000,7.000000,6.900000,0.002604,476.000000
491.000000,7.980000,7.500000,7.320000,0.002923,491.000000
521.000000,7.870000,8.000000,8.200000,0.002883,521.000000
551.000000,8.970000,9.000000,9.060000,0.003286,551.000000
561.000000,9.650000,9.500000,9.480000,0.003535,561.000000
571.000000,11.120000,10.500000,10.960000,0.004077,571.000000
621.000000,12.970000,12.000000,12.620000,0.004755,621.000000
671.000000,14.370000,14.000000,14.320000,0.005267,671.000000
691.000000,15.720000,14.500000,15.160000,0.005762,691.000000
726.000000,17.450001,16.500000,16.860001,0.006396,726.000000
761.000000,18.389999,18.000000,18.520000,0.006740,761.000000
776.000000,19.860001,19.000000,19.360001,0.007278,776.000000
796.000000,21.020000,20.500000,21.020000,0.007703,796.000000
846.000000,30.160000,29.000000,29.680000,0.011055,846.000000
866.000000,31.590000,31.000000,31.440001,0.011579,866.000000
901.000000,35.060001,34.000000,35.000000,0.012850,901.000000
926.000000,38.860001,37.500000,38.520000,0.014242,926.000000
936.000000,40.599998,39.500000,40.259998,0.014879,936.000000
951.000000,43.939999,43.000000,43.580002,0.016103,951.000000
956.000000,60.619999,59.500000,60.580002,0.022216,956.000000
976.000000,64.550003,63.000000,64.040001,0.023652,976.000000
1012.000000,71.980003,70.000000,70.860001,0.026374,1012.000000
1027.000000,79.279999,78.500000,78.320000,0.029048,1027.000000
1042.000000,82.150002,81.500000,81.739998,0.030099,1042.000000
