CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
-916,-8.56000042,-6.5,-5.940000057,-0.059999999,0.079999998,-0.25999999,-0.330000013,0.409999996,0.310000002,-0.200000003,0.140000001,2.220000029,2.279999971,-0.109999999,-3,-1,25,2,29,-13,13,-43,-100,-42,-41,-48,-12,-50,-28,-60,-57,-33,-24,-12,3,-28,-37,-44,-17,-15,-9,-11,-34,,,,,,,,,,,,,-0.003095238,-6.03448E-05,-0.001272728,-0.001818182,-0.006181818,-0.043454545,0.039999992,0.359999999,-0.030000001,2.25,-916,-503.2967033
-951,-9.170000076,-7,-6.360000134,-0.059999999,0.100000001,-0.289999992,-0.330000013,0.409999996,0.310000002,-0.200000003,0.129999995,2.309999943,2.400000095,-0.109999999,133,28,88,40,41,3,22,-12,-57,18,-23,-17,9,-33,-8,-35,-42,-10,-5,11,-4,-21,-19,-25,-2,17,5,11,-15,,,,,,,,,,,,,-0.003318681,-6.89655E-05,-0.000727273,-0.001818182,-0.006,-0.045636365,0.039999992,0.359999999,-0.035000004,2.355000019,-951,-522.5274725
-1012,-10.06999969,-7.5,-7.199999809,-0.050000001,0.109999999,-0.289999992,-0.379999995,0.519999981,0.319999993,-0.200000003,0.109999999,2.529999971,2.599999905,-0.109999999,165,18,26,26,32,-12,23,-20,-68,-15,-25,-39,0,-45,-24,-47,-46,-15,-16,-5,-10,-27,-25,-25,-7,0,-8,-5,-28,,,,,,,,,,,,,-0.003648352,-6.89655E-05,-0.001636364,-0.003636363,-0.005636364,-0.049272726,0.069999993,0.419999987,-0.045000002,2.564999938,-1012,-556.043956
-1067,-10.48999977,-8.5,-8.039999962,-0.050000001,0.140000001,-0.289999992,-0.379999995,0.519999981,0.409999996,-0.200000003,0.109999999,2.720000029,2.779999971,-0.109999999,54,23,45,27,38,-3,21,-23,-61,-20,-27,-38,3,-48,-18,-49,-47,-10,-9,1,-10,-27,-25,-20,3,0,-7,-4,-26,,,,,,,,,,,,,-0.003802198,-8.18966E-05,-0.001636364,-0.002,-0.005636364,-0.052545454,0.069999993,0.464999989,-0.045000002,2.75,-1067,-586.2637363
-1072,-9.899999619,-9,-8.319999695,-0.050000001,0.180000007,-0.289999992,-0.379999995,0.610000014,0.409999996,-0.209999993,0.100000001,2.789999962,2.869999886,-0.109999999,48,-5,31,25,17,8,40,-33,-74,-10,-34,-39,0,-41,-34,-52,-47,-31,-24,-1,-18,-37,-23,-26,-20,-7,-4,-13,-31,,,,,,,,,,,,,-0.00358608,-9.91379E-05,-0.001636364,-0.003636364,-0.005636364,-0.054181816,0.11500001,0.510000005,-0.054999996,2.829999924,-1072,-589.010989
-1097,-12.07999992,-9.5,-9.199999809,0.01,0.200000003,-0.289999992,-0.389999986,0.620000005,0.430000007,-0.180000007,0.25,2.910000086,3.019999981,-0.109999999,129,-10,33,23,37,-5,21,-37,-93,-11,-32,-43,0,-48,-32,-55,-51,-30,-22,1,-3,-38,-28,-36,-18,-8,-5,-5,-34,,,,,,,,,,,,,-0.004384615,-8.18966E-05,-0.001818182,-0.003454545,-0.007818182,-0.056909091,0.11500001,0.525000006,0.034999996,2.965000033,-1097,-602.7472527
-1212,-13.68999958,-11.5,-10.88000011,0.01,0.400000006,-0.289999992,-0.419999987,0.720000029,0.50999999,-0.200000003,0.239999995,3.160000086,3.299999952,-0.109999999,91,7,62,21,46,6,24,-28,-81,-14,-35,-30,2,-48,-25,-52,-58,-27,-21,-1,-5,-29,-31,-40,-10,-9,-10,1,-27,,,,,,,,,,,,,-0.004974359,-0.000168103,-0.002363636,-0.003818183,-0.008,-0.061999999,0.150000021,0.61500001,0.019999996,3.230000019,-1212,-665.9340659
-1272,-14.69999981,-12.5,-11.73999977,0.01,0.49000001,-0.289999992,-0.460000008,0.819999993,0.620000005,-0.200000003,0.239999995,3.289999962,3.440000057,-0.109999999,146,15,24,26,54,18,37,-18,-82,-12,-31,-20,11,-34,-10,-41,-55,-14,-12,3,4,-16,-23,-35,-5,1,-4,16,-14,,,,,,,,,,,,,-0.005344322,-0.000206897,-0.003090909,-0.003636363,-0.008,-0.064545456,0.179999992,0.719999999,0.019999996,3.36500001,-1272,-698.9010989
-1377,-16.07999992,-14.5,-13.46000004,0.01,0.689999998,-0.289999992,-0.469999999,0.939999998,0.699999988,-0.289999992,0.239999995,3.569999933,3.710000038,-0.109999999,204,14,39,37,31,-11,22,-26,-65,6,-18,-43,2,-52,-33,-51,-47,-15,-10,4,-4,-40,-30,-23,-4,2,-9,-10,-40,,,,,,,,,,,,,-0.005849817,-0.000293103,-0.003272727,-0.004363637,-0.009636363,-0.069454546,0.234999999,0.819999993,-0.024999999,3.639999986,-1377,-756.5934066
-1532,-17.95999908,-16.5,-16.02000046,0.01,0.949999988,-0.239999995,-0.469999999,1.100000024,0.819999993,-0.389999986,0.239999995,3.930000067,4.119999886,-0.209999993,151,7,28,29,40,13,27,-22,-70,-6,-33,-37,-3,-52,-26,-54,-64,-15,-18,1,-13,-32,-30,-34,-11,-6,-16,-9,-29,,,,,,,,,,,,,-0.006501831,-0.000405172,-0.004181818,-0.00509091,-0.011454545,-0.078727271,0.315000013,0.960000008,-0.074999996,4.024999976,-1532,-841.7582418
-1632,-19.97999954,-18,-17.68000031,0.01,1.110000014,-0.200000003,-0.469999999,1.25,0.920000017,-0.389999986,0.239999995,4.150000095,4.400000095,-0.209999993,139,-17,9,11,39,12,33,-33,-94,-27,-26,-31,-6,-49,-32,-64,-69,-36,-25,-7,4,-26,-30,-49,-27,-18,-12,-14,-32,,,,,,,,,,,,,-0.007241758,-0.000474138,-0.004909091,-0.006,-0.011454545,-0.083818183,0.390000001,1.085000008,-0.074999996,4.275000095,-1632,-896.7032967
-1678,-21.15999985,-19,-18.55999947,0.01,1.190000057,-0.189999998,-0.430000007,1.320000052,1,-0.389999986,0.219999999,4.269999981,4.5,-0.209999993,172,-9,37,30,39,8,33,-20,-77,-10,-40,-36,14,-40,-27,-42,-53,-24,-23,10,-1,-31,-19,-24,-15,-1,2,-1,-31,,,,,,,,,,,,,-0.007673993,-0.000508621,-0.004363637,-0.005818183,-0.011090909,-0.085636364,0.445000023,1.160000026,-0.084999993,4.38499999,-1678,-921.978022
-1688,-24.23999977,-22,-21.70000076,0.109999999,1.309999943,0.090000004,-0.189999998,1.720000029,1.25,-0.479999989,0.150000006,4.110000134,4.5,-0.209999993,141,-4,29,28,49,3,49,-22,-85,-16,-37,-43,6,-47,-27,-45,-53,-14,-21,-11,-19,-28,-21,-25,-7,-5,-7,-4,-27,,,,,,,,,,,,,-0.008802198,-0.000517241,-0.005090909,-0.008545455,-0.011454545,-0.085636364,0.765000015,1.485000014,-0.164999992,4.305000067,-1688,-927.4725275
-1783,-26.18000031,-24,-23.54000092,0.109999999,1.549999952,0.159999996,-0.189999998,1.909999967,1.389999986,-0.479999989,0.090000004,4.239999771,4.630000114,-0.209999993,157,-8,29,28,28,-16,27,-34,-86,-13,-40,-58,-4,-63,-37,-58,-60,-22,-27,3,-20,-48,-30,-27,-7,-2,-8,-14,-41,,,,,,,,,,,,,-0.009512821,-0.00062069,-0.006363636,-0.009454545,-0.010363636,-0.088000002,0.859999985,1.649999976,-0.194999993,4.434999943,-1783,-979.6703297
-1933,-29.54000092,-27,-27.18000031,0.109999999,2.220000029,0.209999993,-0.090000004,2.25,1.669999957,-0.569999993,0.109999999,4.53000021,4.980000019,-0.310000002,118,2,40,26,48,-6,34,-21,-79,-10,-32,-44,12,-46,-31,-53,-49,-13,-16,-3,-11,-33,-23,-28,-2,1,-4,-8,-31,,,,,,,,,,,,,-0.01070696,-0.000909483,-0.005454545,-0.010545455,-0.012363636,-0.096181819,1.079999998,1.959999979,-0.229999997,4.755000114,-1933,-1062.087912
-1998,-31.25,-28.5,-29.04000092,0.109999999,2.599999905,0.280000001,-0.090000004,2.430000067,1.799999952,-0.579999983,0.150000006,4.670000076,5.159999847,-0.310000002,158,-8,40,8,42,-2,52,-25,-87,-20,-34,-49,10,-50,-30,-48,-49,-13,-17,3,-10,-37,-17,-22,0,-5,-8,-10,-24,,,,,,,,,,,,,-0.011333333,-0.001073276,-0.006727273,-0.011454548,-0.013272727,-0.099454543,1.170000032,2.11500001,-0.214999989,4.914999962,-1998,-1097.802198
-2108,-34.90999985,-32.5,-32.74000168,0.109999999,3.480000019,0.360000014,0,2.769999981,2.049999952,-0.579999983,0.150000006,5.050000191,5.53000021,-0.419999987,145,14,43,30,63,5,19,-20,-99,-25,-59,-33,16,-43,-17,-43,-55,-13,-8,4,-10,-15,-26,-36,-3,10,8,10,-22,,,,,,,,,,,,,-0.0126337,-0.001452586,-0.006545455,-0.01309091,-0.013272727,-0.108181822,1.38499999,2.409999967,-0.214999989,5.2900002,-2108,-1158.241758
-2208,-38.25999832,-36.5,-36.40000153,0.109999999,4.320000172,0.409999996,0,3.109999895,2.329999924,-0.670000017,0.209999993,5.429999828,5.920000076,-0.419999987,182,8,50,27,69,0,-1,-21,-97,-15,-42,-37,6,-49,-5,-46,-75,-18,-9,6,9,-11,-28,-48,-1,3,-6,19,-12,,,,,,,,,,,,,-0.013860805,-0.001814655,-0.007454545,-0.014181818,-0.016,-0.115272728,1.554999948,2.719999909,-0.230000012,5.674999952,-2208,-1213.186813
-2248,-40.36000061,-38,-38.25999832,0.109999999,4.71999979,0.469999999,0.079999998,3.299999952,2.480000019,-0.670000017,0.239999995,5.630000114,6.130000114,-0.519999981,142,-5,35,23,56,-2,26,-21,-91,-1,-25,-27,2,-57,-25,-51,-59,-15,-16,-6,2,-29,-29,-44,-5,-3,-18,-1,-28,,,,,,,,,,,,,-0.014593407,-0.001987069,-0.007090909,-0.01490909,-0.016545455,-0.120909093,1.689999975,2.889999986,-0.215000011,5.880000114,-2248,-1235.164835
-2268,-43.70000076,-41,-41.65999985,0.109999999,5.340000153,0.569999993,0.159999996,3.74000001,2.74000001,-0.670000017,0.25,6.010000229,6.489999771,-0.519999981,122,-25,8,5,51,0,32,-36,-97,-13,-32,-44,-5,-55,-32,-60,-57,-27,-26,-5,-11,-42,-22,-33,-13,-14,-13,-5,-31,,,,,,,,,,,,,-0.01581685,-0.00225431,-0.007454545,-0.018181818,-0.016727273,-0.127454541,1.950000003,3.24000001,-0.210000008,6.25,-2268,-1246.153846
