CH.000,CH.001,CH.002,CH.003,CH.004,CH.005,CH.006,CH.007,CH.008,CH.009,CH.010,CH.011,CH.012,CH.013,CH.014,CH.015,CH.020,CH.021,CH.022,CH.023,CH.024,CH.025,CH.026,CH.027,CH.028,CH.029,CH.030,CH.031,CH.032,CH.033,CH.034,CH.035,CH.036,CH.037,CH.038,CH.039,CH.040,CH.041,CH.042,CH.043,CH.044,CH.045,CH.046,CH.047,CH.048,,,,,,,,,,,,GAMMA,THETA,THETA-UL,THETA-UR,THETA-DL,THETA-DR,DELTA-UL,DELTA-UR,DELTA-DL,DELTA-DR,CH.000,P/M
5,-1.460000038,0,0.039999999,0.01,0.01,0,0,0,0,-0.01,0,0,-0.01,0,-21,37,48,33,33,-4,1,-26,-50,-10,-24,-17,-2,-34,-18,-41,-36,-14,2,-5,-6,-11,-27,-22,-3,10,6,4,-16,,,,,,,,,,,,,-0.000534799,0,0,0,-0.000181818,0.000181818,0,0,-0.005,-0.005,5,2.747252747
95,-1.070000052,0.5,0.140000001,0,0.01,0,0.029999999,-0.01,0,-0.01,0.01,-0.07,-0.07,-0.01,87,29,55,21,34,8,1,-18,-60,-13,-19,-17,6,-41,-12,-34,-47,-14,-9,7,2,-20,-15,-22,-6,6,-6,8,-14,,,,,,,,,,,,,-0.000388278,-4.31034E-06,0.000545455,0.000181818,-0.000363636,0.001090909,0.01,-0.005,0,-0.07,95,52.1978022
240,-0.5,1,0.779999971,0.01,0.01,0.090000004,0.090000004,-0.01,0,-0.01,0.050000001,-0.170000002,-0.209999993,-0.01,5,26,32,16,31,2,-6,-25,-59,-21,-9,-18,-6,-44,-19,-42,-53,-22,-7,-13,8,-17,-31,-32,-11,-5,-13,-1,-16,,,,,,,,,,,,,-0.000179487,0,0,0.000181818,-0.001090909,0.003636364,0.040000002,-0.005,0.02,-0.189999998,240,131.8681319
341,0.289999992,1.5,1.460000038,0.01,0.01,0.090000004,0.140000001,-0.01,0,0.090000004,0.059999999,-0.25999999,-0.330000013,-0.01,25,19,44,29,28,-7,8,-25,-55,26,-4,-36,6,-33,-25,-32,-28,-15,-11,5,-4,-30,-12,-15,-16,3,1,6,-18,,,,,,,,,,,,,0.00010989,0,0.000909091,0.000181818,0.000545455,0.005818182,0.065,-0.005,0.075000001,-0.295000002,341,187.3626374
396,0.779999971,2,2.019999981,0.01,0.01,0.090000004,0.189999998,-0.01,0,0.090000004,0.150000006,-0.360000014,-0.419999987,-0.01,25,28,61,5,36,4,34,-8,-44,-7,-19,-20,12,-29,-14,-35,-28,-5,-4,2,-8,-24,-9,-8,3,8,-8,-2,-17,,,,,,,,,,,,,0.000289377,0,0.001818182,0.000181818,-0.001090909,0.007454545,0.089999999,-0.005,0.120000005,-0.390000001,396,217.5824176
431,1.340000033,2.5,2.359999895,0.01,0.01,0.090000004,0.189999998,-0.01,0,0.140000001,0.150000006,-0.449999988,-0.50999999,-0.01,38,22,19,18,23,11,30,-14,-36,-5,-26,-9,3,-31,-13,-30,-27,-12,-11,-1,-14,-22,-9,-10,-9,-1,-4,-8,-18,,,,,,,,,,,,,0.000494506,0,0.001818182,0.000181818,-0.000181818,0.009090909,0.089999999,-0.005,0.145000003,-0.479999989,431,236.8131868
496,1.970000029,3,3.099999905,0.01,0.01,0.189999998,0.25999999,-0.01,0,0.180000007,0.150000006,-0.550000012,-0.629999995,-0.01,58,32,58,35,43,24,23,-9,-32,9,-4,13,17,-22,-1,-27,-30,-8,5,6,7,-6,-10,-15,0,10,8,15,-2,,,,,,,,,,,,,0.000725275,0,0.001272727,0.000181818,0.000545455,0.011272727,0.124999995,-0.005,0.165000007,-0.590000004,496,272.5274725
556,2.269999981,4,3.799999952,0.01,0.01,0.189999998,0.280000001,-0.01,0,0.280000001,0.239999995,-0.639999986,-0.730000019,0,37,31,42,21,33,3,14,-13,-34,3,-20,-4,13,-36,-7,-34,-34,-5,-4,1,-17,-17,-13,-21,-1,9,-8,3,-17,,,,,,,,,,,,,0.000831502,0,0.001636364,0.000181818,0.000727273,0.013272728,0.135000001,-0.005,0.259999998,-0.685000002,556,305.4945055
601,2.700000048,4.5,4.320000172,0.01,0.01,0.189999998,0.330000013,-0.01,0,0.280000001,0.239999995,-0.74000001,-0.800000012,-0.01,77,27,23,29,29,1,2,-24,-42,-1,-13,-16,8,-36,-19,-34,-29,-10,1,3,-13,-22,-22,-15,-1,12,1,-4,-22,,,,,,,,,,,,,0.000992674,0,0.002545455,0.000181818,0.000727273,0.014363637,0.160000007,-0.005,0.259999998,-0.770000011,601,330.2197802
651,3.980000019,5,5.099999905,0.01,-0.01,0.200000003,0.379999995,-0.059999999,0,0.370000005,0.310000002,-0.839999974,-0.920000017,-0.029999999,57,23,25,25,41,4,24,-13,-67,-25,-33,-24,3,-35,-15,-43,-39,-3,-6,8,-10,-28,-15,-18,2,11,-1,-1,-20,,,,,,,,,,,,,0.001468864,8.62069E-06,0.003272727,0.001090909,0.001090909,0.016181818,0.159999998,-0.029999999,0.340000004,-0.879999995,651,357.6923077
