CB1 GMAX1 GMAX2 CEMAX1 CEMAX2
0.50000E-01 0.72745E+00 0.20451E+00 0.11932E+03 0.19477E+02
0.10000E+00 0.92176E-01 0.11524E-01 0.27000E+03 0.25675E+02
0.15000E+00 0.72740E+00 0.75201E-02 0.15624E+03 0.14123E+02
0.20000E+00 0.50563E-01 0.25323E-01 0.47876E+03 0.62590E+02
0.30000E+00 0.66469E-01 0.34159E-01 0.64157E+03 0.87058E+02
0.40000E+00 0.77851E-01 0.83268E-02 0.83542E+03 0.29684E+02
0.50000E+00 0.98329E-01 0.72009E-02 0.81158E+03 0.24155E+02
0.60000E+00 0.85193E-01 0.62647E-02 0.77934E+03 0.22263E+02
0.70000E+00 0.72183E-01 0.56489E-02 0.76219E+03 0.22228E+02
0.80000E+00 0.57526E-01 0.52774E-02 0.72236E+03 0.24134E+02
0.90000E+00 0.25508E-01 0.45629E-02 0.53117E+03 0.42416E+02
0.10000E+01 0.11632E-01 0.57720E-02 0.37656E+03 0.66938E+02
